task,th,tr,tc,successor
1,462,100000,100000,[]
2,244,488,171,[]
3,269,538,188,[]
4,573,100000,401,"[9, 10, 12, 13]"
5,204,100000,100000,[]
6,131,100000,92,[]
7,81,162,100000,"[11, 15]"
8,205,100000,100000,[14]
9,440,880,100000,"[16, 19]"
10,307,100000,215,[]
11,391,782,100000,"[17, 18]"
12,441,882,100000,[]
13,236,472,100000,"[19, 20]"
14,233,466,100000,[]
15,200,400,100000,[]
16,395,790,100000,"[25, 27]"
17,233,466,100000,[23]
18,112,100000,78,[22]
19,222,444,100000,"[24, 26]"
20,207,414,100000,[21]
21,148,100000,104,[28]
22,358,100000,100000,[31]
23,513,1026,100000,[31]
24,24,100000,100000,[]
25,130,100000,91,[30]
26,131,100000,92,[]
27,182,364,127,[29]
28,68,100000,100000,"[33, 38, 39]"
29,69,138,100000,"[37, 39]"
30,47,94,100000,"[32, 34, 35]"
31,115,100000,100000,[36]
32,199,100000,100000,[]
33,79,100000,55,[]
34,364,100000,100000,[43]
35,118,100000,83,[]
36,49,100000,34,[42]
37,517,100000,362,[42]
38,68,100000,48,[41]
39,227,100000,159,"[40, 43]"
40,296,100000,100000,[]
41,390,100000,100000,[45]
42,152,100000,100000,"[46, 47, 48, 49, 50]"
43,26,52,18,[44]
44,319,100000,223,[]
45,462,100000,323,[]
46,174,100000,100000,[]
47,49,100000,100000,[]
48,532,1064,100000,[]
49,191,100000,100000,[]
50,143,286,100,[]
