task,th,tr,tc,successor
1,113,100000,100000,"[4, 7, 9, 10]"
2,121,100000,85,"[5, 6, 7, 8, 9, 10]"
3,359,100000,100000,"[6, 7, 8, 9, 10]"
4,24,100000,100000,[13]
5,163,326,114,[14]
6,102,100000,100000,"[11, 15, 16]"
7,163,100000,100000,"[12, 15, 16]"
8,126,252,100000,"[15, 16]"
9,174,100000,100000,"[15, 16]"
10,22,44,100000,"[15, 16]"
11,95,190,100000,[17]
12,175,100000,100000,[18]
13,164,100000,100000,[19]
14,191,382,134,[20]
15,186,100000,130,"[21, 22, 33]"
16,60,100000,42,"[21, 22, 33]"
17,67,100000,100000,[23]
18,268,536,100000,[24]
19,93,100000,65,[25]
20,199,100000,100000,[26]
21,139,278,100000,"[27, 28, 32]"
22,136,100000,100000,"[27, 28, 32]"
23,130,260,91,[30]
24,192,384,134,[29]
25,141,282,99,[32]
26,260,520,100000,[33]
27,87,100000,100000,"[30, 31]"
28,39,100000,100000,"[31, 35]"
29,38,76,27,[35]
30,92,100000,100000,[35]
31,250,100000,175,"[34, 38, 39]"
32,121,100000,85,"[39, 45, 47, 49]"
33,119,238,100000,[35]
34,26,100000,100000,[37]
35,198,100000,100000,"[36, 38, 39]"
36,128,100000,100000,[41]
37,36,72,25,[42]
38,136,272,95,"[40, 42, 43, 44, 45, 47]"
39,41,82,29,"[42, 43, 44]"
40,209,418,100000,[46]
41,116,100000,100000,[47]
42,65,100000,100000,[48]
43,152,100000,106,[48]
44,54,100000,38,[50]
45,73,146,100000,[48]
46,175,350,122,[49]
47,273,100000,191,[]
48,45,90,100000,[50]
49,78,100000,100000,[]
50,105,100000,74,[]
