task,th,tr,tc,successor
1,241,482,169,[14]
2,258,516,100000,[12]
3,397,794,278,"[10, 11, 13]"
4,441,100000,100000,[47]
5,339,678,100000,[]
6,293,586,100000,"[9, 34]"
7,537,100000,376,[]
8,599,100000,100000,[]
9,599,100000,100000,"[16, 17, 19]"
10,402,100000,281,[]
11,651,100000,100000,"[18, 21]"
12,532,100000,100000,[]
13,306,100000,214,"[15, 20]"
14,356,100000,100000,[]
15,435,870,100000,"[22, 24]"
16,588,100000,100000,[25]
17,452,100000,100000,[]
18,357,714,250,"[23, 26]"
19,639,1278,100000,[24]
20,316,632,100000,[30]
21,468,100000,328,[]
22,612,100000,100000,"[26, 27]"
23,630,100000,100000,"[28, 30, 31, 32]"
24,540,1080,378,"[27, 29]"
25,448,896,100000,[]
26,605,1210,424,[37]
27,533,100000,373,[35]
28,260,520,182,[]
29,510,100000,357,[36]
30,755,100000,100000,[34]
31,506,100000,354,"[33, 50]"
32,609,100000,100000,[]
33,640,100000,100000,[]
34,424,100000,297,[38]
35,556,1112,389,"[41, 43]"
36,579,100000,405,[39]
37,404,100000,100000,"[40, 42]"
38,606,100000,424,[49]
39,549,1098,100000,[47]
40,440,100000,308,[48]
41,636,1272,100000,[46]
42,322,100000,100000,"[44, 45]"
43,459,918,100000,[50]
44,627,100000,100000,[]
45,581,1162,407,[]
46,403,806,100000,[]
47,535,1070,100000,[]
48,579,100000,100000,[]
49,589,100000,412,[]
50,746,100000,100000,[]
