task,th,tr,tc,successor
1,547,1094,100000,[31]
2,99,198,100000,[12]
3,528,100000,370,[12]
4,494,100000,346,"[8, 10]"
5,174,100000,100000,"[6, 7, 9, 11]"
6,277,554,100000,[31]
7,26,100000,100000,[12]
8,575,100000,100000,[12]
9,104,208,73,"[12, 14]"
10,270,540,100000,"[12, 14, 15]"
11,149,298,100000,"[13, 15]"
12,150,300,105,"[16, 17, 18, 19, 20]"
13,524,1048,367,[42]
14,133,266,100000,[20]
15,209,100000,146,"[20, 21]"
16,429,858,100000,[]
17,80,100000,56,"[27, 29]"
18,66,100000,46,"[21, 22]"
19,189,100000,132,[29]
20,254,508,100000,[22]
21,26,52,18,[42]
22,249,100000,100000,"[23, 24, 25, 26]"
23,308,100000,100000,[31]
24,60,120,100000,[42]
25,478,100000,335,"[27, 30]"
26,527,100000,100000,"[28, 29, 30]"
27,565,100000,396,[31]
28,166,100000,100000,[31]
29,36,100000,25,"[32, 33]"
30,91,182,100000,[34]
31,100,100000,100000,"[35, 36, 37, 38, 39, 40]"
32,60,100000,100000,[50]
33,147,100000,100000,"[41, 50]"
34,296,100000,207,"[42, 43]"
35,79,100000,100000,[]
36,568,100000,100000,"[43, 50]"
37,120,100000,84,[49]
38,400,800,100000,[]
39,39,100000,27,[44]
40,198,100000,100000,[42]
41,250,500,100000,[]
42,632,100000,100000,"[45, 46, 47, 48, 50]"
43,141,100000,100000,[49]
44,249,100000,100000,[]
45,277,100000,194,[]
46,188,100000,132,[]
47,170,340,119,[]
48,196,392,137,[]
49,486,972,100000,[]
50,108,216,100000,[]
