task,th,tr,tc,successor
1,414,828,100000,[5]
2,323,646,100000,[6]
3,592,100000,414,[]
4,437,874,306,"[7, 8, 9, 10]"
5,582,100000,407,[11]
6,214,428,100000,[16]
7,504,100000,353,"[12, 14, 15]"
8,471,100000,100000,"[13, 17, 18]"
9,616,100000,100000,[]
10,475,100000,100000,[]
11,567,100000,397,[19]
12,258,100000,100000,[19]
13,650,1300,455,[19]
14,608,100000,426,[19]
15,464,100000,325,[20]
16,614,1228,100000,"[21, 23, 27]"
17,519,100000,100000,"[24, 25]"
18,586,100000,100000,"[22, 23, 26]"
19,280,100000,100000,"[28, 29, 30, 31, 32, 33]"
20,691,1382,100000,[35]
21,413,100000,289,[34]
22,551,1102,100000,[]
23,486,100000,100000,[36]
24,548,1096,100000,[]
25,559,1118,100000,[]
26,870,100000,609,[]
27,544,1088,381,[]
28,492,100000,344,[43]
29,359,718,100000,[]
30,515,100000,100000,[40]
31,530,100000,100000,[39]
32,360,100000,100000,[41]
33,626,100000,438,[]
34,307,100000,100000,[37]
35,549,1098,100000,[42]
36,413,826,100000,[38]
37,253,100000,177,[45]
38,211,100000,100000,[44]
39,423,846,100000,[]
40,442,100000,100000,[46]
41,287,574,100000,[]
42,646,1292,100000,"[47, 48]"
43,356,100000,249,[]
44,405,100000,284,[49]
45,615,1230,430,[50]
46,339,100000,100000,[]
47,501,1002,100000,[]
48,512,100000,358,[]
49,510,100000,357,[]
50,484,968,339,[]
