task,th,tr,tc,successor
1,518,1036,100000,"[17, 31]"
2,459,100000,321,"[5, 7]"
3,299,100000,209,[9]
4,444,888,100000,"[5, 6, 8]"
5,489,100000,100000,[11]
6,682,100000,477,"[10, 20]"
7,487,100000,100000,[10]
8,561,100000,393,[12]
9,523,1046,366,[13]
10,475,100000,100000,"[13, 16]"
11,590,100000,100000,[15]
12,413,100000,100000,"[13, 14]"
13,628,100000,100000,"[17, 18, 19]"
14,357,714,250,"[26, 33, 36]"
15,326,100000,228,"[19, 20]"
16,490,100000,100000,[41]
17,459,918,321,"[21, 22, 24, 40]"
18,554,100000,388,"[26, 33, 34]"
19,399,798,279,"[23, 24, 25]"
20,449,100000,314,"[21, 22, 26]"
21,405,100000,100000,"[27, 30]"
22,576,100000,100000,"[34, 47]"
23,336,100000,100000,[29]
24,732,100000,100000,[]
25,391,782,100000,[31]
26,397,794,100000,[28]
27,564,1128,100000,[]
28,343,686,100000,[]
29,439,100000,307,"[31, 33, 34]"
30,603,1206,422,"[32, 35]"
31,682,1364,100000,"[36, 43]"
32,611,100000,428,"[38, 43, 47]"
33,277,554,194,"[35, 37, 39]"
34,421,100000,295,"[36, 45]"
35,429,858,100000,[42]
36,603,1206,422,"[41, 44]"
37,728,100000,510,"[40, 41, 42, 43, 44]"
38,510,100000,100000,"[44, 45, 46, 50]"
39,561,1122,393,[46]
40,546,100000,382,[47]
41,686,100000,100000,[50]
42,500,100000,100000,[47]
43,539,1078,100000,[]
44,417,834,100000,[48]
45,277,554,100000,[]
46,405,100000,100000,[49]
47,452,100000,100000,[]
48,522,100000,100000,[]
49,713,1426,100000,[]
50,298,100000,100000,[]
