task,th,tr,tc,successor
1,153,306,100000,"[6, 7, 16]"
2,86,100000,100000,"[5, 6, 7, 8]"
3,83,100000,58,"[19, 25, 29, 36, 42]"
4,121,100000,100000,"[5, 6, 7]"
5,150,100000,100000,"[9, 11, 12]"
6,206,412,100000,"[9, 10]"
7,42,100000,29,"[9, 12, 13, 20]"
8,136,272,95,"[11, 15]"
9,151,302,100000,"[22, 24, 27]"
10,259,518,100000,"[13, 14, 15, 17]"
11,142,100000,100000,"[13, 16, 17]"
12,207,100000,145,"[15, 42]"
13,111,222,78,"[18, 19, 22, 27]"
14,387,774,271,[18]
15,514,1028,100000,"[19, 25, 29]"
16,146,100000,100000,"[18, 20]"
17,145,290,100000,"[21, 35]"
18,496,100000,347,"[23, 32]"
19,32,64,22,"[43, 47, 49]"
20,55,110,100000,"[25, 27, 28]"
21,220,100000,100000,"[24, 27]"
22,93,100000,100000,"[25, 26, 31, 38]"
23,87,100000,61,"[46, 50]"
24,320,100000,224,"[28, 29]"
25,227,100000,159,[30]
26,336,100000,100000,"[28, 32, 39]"
27,68,136,48,"[30, 31]"
28,173,346,100000,"[36, 46, 50]"
29,71,142,100000,"[34, 38, 48]"
30,523,100000,366,"[39, 40]"
31,455,910,318,"[33, 36, 37, 44]"
32,303,100000,100000,"[33, 35]"
33,391,100000,100000,"[40, 41]"
34,207,100000,145,"[40, 47]"
35,24,100000,100000,"[42, 48, 49]"
36,534,100000,100000,[47]
37,301,100000,100000,[]
38,76,100000,53,[]
39,56,100000,100000,"[41, 43, 44]"
40,342,100000,100000,[]
41,112,100000,78,[]
42,24,100000,100000,[]
43,455,910,100000,[46]
44,307,100000,100000,[45]
45,241,100000,100000,"[47, 48, 49, 50]"
46,127,254,89,[]
47,474,948,332,[]
48,369,100000,100000,[]
49,91,182,100000,[]
50,45,90,31,[]
