task,th,tr,tc,successor
1,61,100000,43,[13]
2,64,100000,45,[12]
3,188,100000,100000,[]
4,139,100000,97,"[11, 27, 42]"
5,236,472,100000,[10]
6,39,100000,27,[9]
7,105,100000,74,[14]
8,83,166,100000,[]
9,174,348,100000,"[15, 16, 19]"
10,111,222,100000,"[20, 31]"
11,193,386,100000,[]
12,252,504,176,[18]
13,134,268,100000,[]
14,266,100000,100000,[17]
15,90,100000,100000,"[24, 25]"
16,258,100000,100000,[23]
17,152,100000,106,[]
18,214,100000,150,[22]
19,115,230,80,[21]
20,137,274,100000,[26]
21,171,342,100000,"[31, 33, 36]"
22,128,100000,100000,[29]
23,163,100000,100000,[32]
24,277,100000,194,[]
25,138,100000,97,[28]
26,184,368,100000,"[27, 30]"
27,126,100000,100000,[]
28,88,176,100000,[34]
29,171,342,100000,[42]
30,339,100000,100000,[37]
31,138,276,97,"[35, 38, 40]"
32,30,100000,100000,"[36, 39, 49]"
33,131,100000,92,[]
34,237,100000,166,[43]
35,49,100000,34,[]
36,197,100000,138,[42]
37,61,100000,100000,[49]
38,158,316,100000,[]
39,116,100000,100000,[]
40,167,100000,117,[41]
41,173,100000,100000,[]
42,42,100000,100000,"[44, 45, 46, 47, 48, 50]"
43,38,100000,100000,[49]
44,214,428,100000,[]
45,234,468,164,[]
46,79,158,100000,[]
47,174,100000,100000,[]
48,80,160,56,[]
49,179,358,125,[]
50,35,100000,100000,[]
