task,th,tr,tc,successor
1,481,100000,337,"[13, 25]"
2,426,852,298,"[5, 11, 14]"
3,596,1192,417,"[4, 5, 6]"
4,421,842,100000,"[7, 9, 16, 20]"
5,530,1060,100000,"[7, 9, 10, 20]"
6,487,974,100000,"[7, 8, 11, 12]"
7,622,100000,100000,[15]
8,417,100000,100000,"[13, 15, 18]"
9,625,1250,438,"[27, 32]"
10,484,968,339,[17]
11,709,100000,100000,[35]
12,618,1236,433,"[14, 16, 18]"
13,440,880,100000,[20]
14,263,100000,100000,[21]
15,351,100000,246,[25]
16,559,1118,100000,[]
17,625,100000,438,"[19, 23]"
18,564,100000,100000,"[19, 24]"
19,658,100000,100000,[25]
20,325,100000,227,[30]
21,523,100000,366,"[22, 23, 24]"
22,618,100000,100000,"[26, 27, 28, 29]"
23,587,1174,100000,"[26, 44]"
24,667,100000,467,"[26, 27, 29]"
25,495,100000,346,"[26, 28, 29]"
26,583,100000,100000,"[40, 46, 48]"
27,488,976,100000,[30]
28,452,904,316,"[30, 31, 32]"
29,491,100000,100000,"[30, 32]"
30,351,702,100000,"[38, 39, 42, 48]"
31,731,100000,100000,"[37, 44]"
32,451,100000,316,"[33, 34, 35, 36]"
33,554,100000,100000,[]
34,665,1330,100000,"[39, 41]"
35,761,100000,533,"[40, 43, 44, 45]"
36,425,850,100000,[]
37,530,100000,371,[42]
38,541,100000,100000,[45]
39,526,100000,368,"[46, 49, 50]"
40,398,796,100000,[47]
41,538,100000,100000,"[45, 47, 48]"
42,550,100000,385,[46]
43,566,100000,100000,[49]
44,689,100000,100000,[46]
45,498,100000,100000,[]
46,541,1082,100000,[]
47,498,996,349,[]
48,342,100000,239,[]
49,328,656,100000,[]
50,532,100000,100000,[]
