task,th,tr,tc,successor
1,426,852,298,[21]
2,525,100000,100000,[31]
3,636,100000,445,[31]
4,535,100000,374,[43]
5,499,100000,349,"[6, 7, 8]"
6,575,100000,100000,[21]
7,539,100000,100000,"[9, 10, 12, 15, 16, 17]"
8,739,1478,517,"[10, 11, 12, 13]"
9,684,100000,479,[21]
10,348,696,100000,[21]
11,512,1024,100000,[31]
12,607,100000,100000,[31]
13,552,100000,100000,"[14, 15, 16, 17, 18, 19, 20]"
14,506,100000,354,[21]
15,344,100000,100000,[21]
16,371,100000,100000,[43]
17,543,100000,100000,"[40, 44]"
18,277,100000,100000,[23]
19,528,1056,370,"[21, 22, 23, 24]"
20,537,100000,376,"[22, 32]"
21,450,100000,100000,"[25, 26, 27, 28, 29, 30, 31, 32]"
22,400,800,100000,[31]
23,461,922,323,"[32, 38, 42]"
24,433,100000,100000,"[31, 32]"
25,633,100000,100000,[37]
26,478,100000,100000,"[37, 40, 41]"
27,739,100000,100000,"[37, 41]"
28,539,1078,377,"[37, 41]"
29,553,100000,100000,"[37, 38, 42]"
30,561,1122,393,"[37, 38, 41, 42]"
31,433,100000,100000,"[33, 34, 35, 36, 37, 38]"
32,308,616,216,[37]
33,382,100000,100000,[41]
34,281,562,100000,"[40, 42]"
35,274,548,100000,[39]
36,285,100000,200,"[44, 50]"
37,507,1014,100000,[43]
38,295,100000,206,"[40, 44]"
39,491,100000,344,[43]
40,542,1084,100000,[43]
41,498,996,100000,"[43, 44]"
42,542,100000,100000,[43]
43,479,958,100000,"[45, 46, 47, 48, 49]"
44,301,602,100000,[]
45,533,1066,100000,[]
46,615,1230,430,[]
47,420,100000,294,[]
48,521,100000,100000,[]
49,548,100000,384,[50]
50,555,1110,388,[]
