100 5 24216
13114 12340 12947 13149 12994 
576 181 465 754 521 590 
585 180 182 560 928 489 
831 339 469 486 929 320 
320 135 336 513 244 11 
872 913 937 846 206 248 
948 517 91 807 776 748 
695 819 593 927 188 367 
836 181 49 577 918 139 
746 976 74 539 482 73 
609 488 690 390 545 120 
1001 77 918 840 594 978 
835 342 439 643 47 750 
927 398 903 808 922 921 
560 233 884 103 345 660 
1101 893 164 859 760 730 
879 156 756 745 28 934 
477 313 115 8 815 49 
697 920 624 614 590 202 
858 486 146 444 711 291 
702 583 752 884 47 375 
447 4 177 89 238 994 
503 267 889 199 256 876 
1071 728 717 513 721 986 
609 661 356 21 138 340 
963 447 381 765 6 914 
618 9 697 304 294 996 
737 12 975 370 704 544 
809 173 213 970 730 252 
522 652 286 708 60 818 
556 323 828 694 138 373 
900 761 70 543 594 699 
751 58 890 283 225 558 
825 697 370 798 678 200 
746 651 941 521 828 517 
919 702 9 334 854 537 
633 600 5 570 417 257 
878 281 168 433 777 285 
670 162 417 550 535 559 
771 734 387 137 902 716 
525 208 393 348 393 850 
861 450 259 151 450 630 
431 675 101 96 61 218 
608 282 61 602 554 860 
946 948 815 995 745 484 
1187 884 859 644 695 827 
631 72 768 862 436 628 
435 265 21 182 120 615 
1217 585 528 839 862 834 
749 838 292 51 715 906 
484 536 24 778 469 116 
596 752 465 186 598 833 
788 839 161 432 509 220 
1052 832 539 798 908 929 
618 877 990 143 552 530 
664 90 778 945 403 220 
875 746 290 171 422 850 
827 863 556 623 837 333 
331 463 257 272 18 46 
467 590 376 328 848 53 
759 525 694 552 16 219 
499 253 933 242 145 397 
590 987 467 368 425 443 
732 204 937 743 418 940 
819 716 680 768 398 836 
724 653 720 518 342 653 
880 513 309 45 949 370 
938 605 288 112 732 754 
444 174 89 855 277 729 
717 863 251 487 846 220 
798 672 427 604 511 86 
577 532 487 205 343 472 
656 36 51 549 213 341 
1000 775 847 277 788 708 
615 737 135 715 14 572 
751 104 518 219 481 388 
897 605 861 460 632 498 
629 685 170 530 883 181 
1016 766 870 929 166 158 
1097 959 263 817 510 482 
534 725 989 97 462 296 
757 917 173 302 63 385 
507 209 61 502 991 235 
966 330 990 814 737 187 
881 313 903 810 212 213 
1026 533 957 931 911 917 
877 444 874 729 702 992 
956 571 980 453 353 968 
735 899 535 44 984 976 
836 776 339 888 593 852 
674 228 683 741 566 613 
1059 967 230 874 604 701 
742 317 104 650 678 14 
813 621 650 13 131 715 
755 661 631 803 717 344 
1064 259 647 434 876 902 
495 775 178 653 743 48 
1075 702 827 371 994 244 
1177 764 597 830 662 625 
938 775 258 188 523 627 
680 458 862 70 718 275 
