100 5 23991
12440 12184 13875 11869 12243 
829 502 430 828 839 949 
618 66 323 553 674 517 
641 229 712 337 396 55 
992 725 645 862 128 290 
985 461 833 225 569 784 
570 533 762 41 631 129 
650 658 352 933 725 21 
902 340 411 845 552 599 
1049 95 715 980 365 792 
571 501 141 433 292 529 
567 697 887 139 649 46 
498 437 331 809 177 542 
600 172 388 174 372 766 
986 549 546 769 75 707 
855 801 817 819 76 864 
688 408 813 641 614 166 
995 866 541 460 205 878 
962 475 144 906 33 808 
644 253 300 816 644 61 
710 467 311 998 660 475 
632 809 264 112 996 657 
1068 802 591 608 517 933 
735 683 657 653 905 257 
1087 738 848 341 989 596 
646 160 101 963 284 378 
780 41 862 453 498 685 
655 432 282 968 332 506 
706 538 66 909 589 223 
1113 342 101 985 842 928 
550 957 401 509 337 376 
625 515 322 184 656 421 
967 995 363 807 185 369 
1101 824 471 459 834 577 
551 255 750 726 128 194 
963 712 871 336 291 341 
799 241 523 800 789 824 
472 541 163 818 702 73 
1134 806 428 779 935 948 
692 577 265 1 883 618 
512 313 284 656 66 764 
852 595 338 344 721 469 
749 899 346 556 673 682 
557 676 616 177 897 275 
1144 772 467 736 906 609 
707 560 401 263 408 290 
679 342 464 304 645 873 
907 791 239 542 519 147 
789 253 712 813 244 926 
732 400 866 326 595 772 
556 180 129 718 15 7 
784 60 202 601 464 860 
796 722 710 591 93 963 
702 945 353 216 254 543 
744 164 715 918 627 119 
603 116 176 394 284 95 
917 429 395 512 436 764 
998 856 71 378 787 560 
527 102 644 970 50 563 
949 573 440 751 224 959 
791 623 247 957 220 743 
883 633 616 639 459 57 
619 59 68 131 124 641 
707 235 598 116 607 48 
383 737 12 494 64 63 
494 376 421 662 889 87 
477 370 83 166 172 145 
822 528 938 345 115 338 
1137 546 602 725 904 463 
807 699 793 135 924 947 
615 352 745 843 169 611 
935 523 924 878 841 494 
448 327 535 121 110 190 
743 412 20 600 536 762 
926 869 303 569 962 851 
818 841 586 735 192 717 
669 758 953 263 295 908 
650 320 929 425 507 758 
798 230 536 803 879 714 
509 6 301 632 456 123 
732 409 396 5 433 240 
842 432 87 529 865 712 
882 678 287 609 400 59 
643 562 575 328 762 7 
752 595 290 647 985 199 
1063 778 714 575 591 900 
436 364 407 510 502 18 
637 908 717 413 291 183 
652 188 189 541 601 324 
914 48 880 960 31 938 
510 291 813 932 211 301 
749 984 996 378 207 325 
727 620 717 34 228 915 
731 627 283 515 160 302 
663 571 702 946 523 472 
790 720 797 226 328 659 
888 393 650 805 10 595 
506 119 280 430 707 79 
545 43 344 969 423 345 
872 587 592 148 324 584 
635 448 512 14 194 31 
