100 5 24613
12914 13123 12297 12018 12712 
879 859 384 283 372 782 
686 636 18 707 329 288 
547 338 54 130 187 346 
407 240 579 257 377 204 
623 511 393 787 495 129 
884 87 459 831 381 229 
882 829 952 113 664 44 
679 70 272 265 986 342 
814 593 939 199 489 424 
673 711 603 450 507 471 
1156 681 489 775 935 649 
654 293 867 253 940 897 
606 620 592 856 297 77 
940 646 489 61 921 716 
490 644 312 395 27 16 
733 327 557 825 875 467 
910 537 374 768 360 199 
1164 369 860 819 588 876 
483 650 95 717 385 42 
989 369 829 953 86 737 
934 506 262 512 474 792 
641 598 292 182 416 768 
1148 139 878 719 662 872 
1024 322 504 655 960 393 
1136 833 692 969 911 455 
856 812 738 650 149 497 
702 414 276 895 283 382 
484 131 734 415 690 172 
1001 846 340 754 542 550 
749 224 576 394 834 104 
881 440 238 626 185 505 
861 258 950 382 86 686 
967 179 536 750 76 836 
1033 380 824 110 974 441 
928 698 550 104 420 578 
582 103 407 638 644 582 
656 720 849 203 503 440 
971 717 541 306 570 998 
607 62 82 289 594 599 
372 235 117 444 403 323 
685 773 11 115 62 794 
553 64 4 877 680 164 
714 735 425 915 120 422 
866 803 901 76 966 917 
936 595 590 58 284 689 
1160 308 905 870 690 672 
600 499 206 552 16 97 
661 672 210 969 4 703 
759 713 181 28 208 876 
823 78 704 686 570 544 
688 570 218 514 716 864 
951 636 139 878 974 398 
634 968 137 571 166 41 
858 47 298 766 757 353 
992 795 107 630 442 809 
789 589 578 410 550 26 
807 125 12 307 835 279 
922 317 900 783 302 844 
838 195 974 345 621 24 
662 761 85 592 500 726 
682 314 413 743 354 892 
790 108 942 307 580 919 
360 13 870 485 207 158 
521 141 962 75 632 577 
850 531 518 504 138 174 
787 667 625 47 83 901 
903 984 930 450 680 739 
571 557 660 537 879 59 
739 1000 951 600 60 402 
905 934 781 629 851 925 
946 843 424 341 301 364 
669 706 393 254 822 223 
981 552 664 970 78 838 
747 967 397 251 219 131 
950 545 636 385 977 850 
614 839 263 149 199 331 
786 496 744 240 177 815 
881 723 964 941 931 521 
854 117 381 863 429 64 
883 770 10 639 686 960 
581 390 481 249 81 857 
488 966 163 531 204 59 
1014 428 758 671 839 787 
1072 595 559 700 866 801 
567 641 392 145 98 306 
586 150 626 218 601 357 
557 452 32 484 283 775 
600 278 701 186 644 990 
1027 804 845 718 581 694 
851 560 834 148 226 133 
530 176 551 521 604 269 
961 776 968 680 129 885 
758 966 983 571 278 576 
346 357 572 335 187 7 
626 953 756 390 97 246 
682 563 173 105 952 613 
546 395 636 15 453 765 
879 857 804 606 289 757 
832 292 772 559 511 398 
708 378 268 561 826 579 
