100 5 23534
13164 12033 12184 13178 12688 
1068 495 377 278 929 887 
567 707 556 49 88 133 
704 875 313 491 946 57 
973 928 90 78 525 933 
1047 542 505 884 836 657 
874 474 18 456 205 737 
665 824 101 503 722 110 
580 312 582 291 118 978 
959 266 941 981 832 33 
618 682 459 106 560 707 
848 366 515 472 732 706 
1031 999 959 385 268 51 
944 147 850 771 14 622 
852 823 597 744 485 18 
436 86 523 238 918 366 
1096 841 724 306 596 638 
533 371 256 740 592 658 
767 853 831 193 374 885 
819 68 764 733 464 518 
856 815 940 540 569 215 
622 88 780 122 559 434 
848 935 881 425 971 521 
916 503 280 524 579 414 
535 785 82 182 263 529 
1045 407 862 989 959 143 
425 172 65 770 326 193 
1088 663 346 833 929 573 
702 415 205 219 45 695 
995 243 434 587 463 952 
574 760 354 686 391 443 
817 323 128 340 328 556 
960 902 141 169 821 953 
884 783 407 965 506 340 
661 675 499 756 907 52 
759 521 153 123 30 829 
753 466 548 6 278 312 
738 521 329 554 447 400 
538 620 192 686 373 699 
520 533 565 71 764 227 
934 208 898 735 588 680 
806 634 894 295 241 748 
807 483 642 212 523 902 
653 542 302 24 402 454 
555 832 7 553 116 808 
762 648 331 613 694 413 
554 441 647 234 423 176 
1039 939 858 877 710 435 
662 380 790 491 177 850 
1046 938 604 713 967 988 
645 640 82 770 138 229 
682 721 365 506 684 749 
599 340 94 793 109 891 
591 390 830 305 996 81 
642 42 9 282 400 450 
1006 705 769 375 988 318 
633 517 984 2 305 81 
1055 5 917 756 708 551 
631 315 672 660 371 191 
761 331 189 629 247 668 
430 534 232 292 83 488 
644 305 676 230 904 959 
1024 941 97 871 464 482 
933 165 783 192 855 860 
745 40 500 212 514 483 
578 332 271 62 949 313 
1067 983 480 568 116 763 
888 770 841 602 433 630 
680 264 629 888 75 594 
442 7 162 528 235 294 
946 525 191 896 133 817 
652 475 316 213 131 486 
689 798 616 232 249 424 
753 509 337 801 793 862 
913 438 855 780 904 471 
1197 77 935 902 934 694 
518 626 915 80 558 106 
517 30 148 567 476 315 
535 591 105 632 566 174 
619 696 150 578 58 124 
838 84 800 551 764 271 
576 346 312 620 548 586 
749 619 879 689 942 273 
946 595 547 602 996 479 
713 504 899 164 953 705 
482 971 6 534 565 188 
540 559 454 68 200 530 
966 792 213 110 304 1000 
1074 940 459 485 398 888 
276 281 65 343 461 41 
653 55 320 897 279 640 
971 524 723 907 678 307 
968 561 779 744 823 201 
918 485 786 861 954 424 
915 963 3 319 540 821 
997 290 127 580 718 954 
437 51 214 206 600 185 
434 692 84 425 346 78 
643 807 580 775 121 705 
837 852 970 145 635 470 
789 737 636 514 956 828 
