100 5 23551
13486 12749 11130 12651 12451 
771 563 588 84 728 1000 
509 659 89 258 593 637 
640 144 884 463 698 396 
509 345 128 654 258 715 
641 188 202 834 459 62 
626 345 635 545 210 136 
640 585 29 277 433 727 
891 400 730 781 564 187 
960 396 968 961 782 892 
928 425 426 531 795 872 
975 393 101 664 920 701 
843 392 987 259 417 61 
654 864 624 334 190 836 
856 460 911 589 104 112 
612 874 580 388 40 768 
871 949 306 857 211 538 
731 969 536 792 717 494 
720 774 132 905 602 801 
771 106 370 213 969 327 
810 198 691 749 927 67 
1047 987 739 277 585 973 
713 234 75 31 191 711 
574 770 427 178 614 670 
557 870 500 620 181 478 
697 933 237 690 842 9 
660 599 945 916 11 373 
812 866 180 205 620 823 
384 512 256 138 449 417 
714 99 272 355 53 362 
967 848 376 224 620 904 
761 350 836 696 64 722 
722 244 657 994 495 471 
1026 965 714 302 627 129 
850 388 632 441 704 907 
1077 217 730 863 618 765 
627 915 16 229 440 821 
729 669 218 959 73 110 
511 314 179 321 72 184 
929 915 523 327 574 572 
561 492 508 108 719 340 
966 739 846 459 918 281 
310 58 114 816 321 202 
1086 628 536 394 661 848 
832 444 684 518 506 980 
700 632 95 6 46 738 
564 475 698 169 711 282 
602 598 977 231 309 327 
1046 752 621 425 864 909 
854 493 495 643 273 303 
489 928 670 565 160 79 
505 52 477 460 805 623 
577 114 490 9 287 917 
608 58 800 431 435 649 
445 106 116 18 888 773 
747 876 236 443 311 490 
791 165 134 617 251 640 
543 645 772 276 289 101 
403 133 567 97 650 145 
703 86 906 238 867 935 
914 881 515 460 390 211 
836 640 516 359 961 59 
925 18 656 594 978 986 
437 449 636 738 79 103 
542 596 624 42 51 854 
1158 705 897 464 446 832 
691 702 515 80 707 376 
849 714 584 836 568 706 
927 743 940 244 848 677 
903 960 299 564 941 580 
864 663 578 548 419 121 
669 476 774 774 367 189 
724 804 805 822 814 13 
720 554 277 20 699 67 
570 482 500 410 544 607 
840 974 56 327 44 477 
358 672 191 327 322 175 
565 464 333 755 371 724 
639 357 692 870 753 411 
658 111 299 678 252 543 
851 284 206 193 969 910 
639 775 940 163 281 619 
492 25 281 92 925 312 
749 506 627 973 34 695 
761 899 993 312 910 328 
682 766 90 380 63 455 
740 155 529 682 780 671 
779 785 840 390 663 213 
601 164 516 5 387 526 
668 970 655 273 955 282 
866 846 564 551 230 590 
645 563 154 670 425 606 
550 813 20 464 152 908 
967 289 625 643 468 340 
890 874 897 392 239 40 
707 462 981 51 956 560 
804 851 1000 200 78 567 
822 663 633 98 696 94 
475 667 307 158 912 218 
353 67 220 375 787 43 
830 355 61 714 419 825 
