task,th,tr,tc,successor
1,77,100000,54,[67]
2,141,282,100000,[19]
3,122,100000,100000,[38]
4,187,100000,131,[38]
5,113,100000,100000,[84]
6,41,82,29,[84]
7,251,100000,100000,[53]
8,62,100000,100000,"[10, 12, 14, 16, 18]"
9,305,100000,214,"[11, 13, 15, 16, 17]"
10,175,100000,100000,[19]
11,68,136,100000,[19]
12,187,374,100000,[19]
13,141,282,100000,[19]
14,107,214,100000,[38]
15,207,100000,145,[84]
16,248,100000,100000,"[23, 49]"
17,238,476,167,"[20, 22, 36]"
18,96,100000,100000,"[21, 22, 33]"
19,221,442,100000,"[25, 26, 27, 28, 29, 30]"
20,43,86,30,[53]
21,169,338,118,[53]
22,131,100000,100000,"[24, 31]"
23,44,100000,100000,"[24, 31, 32, 39, 42]"
24,252,100000,176,[67]
25,201,100000,141,[38]
26,25,100000,18,[38]
27,123,100000,100000,[38]
28,95,190,66,[53]
29,48,100000,100000,"[33, 35, 36, 37]"
30,93,186,65,"[57, 66, 68, 69]"
31,81,100000,57,[38]
32,94,100000,66,"[34, 35, 41]"
33,197,100000,138,[67]
34,235,100000,164,[38]
35,151,100000,100000,[38]
36,342,100000,100000,[38]
37,91,182,100000,"[39, 40, 41, 42]"
38,35,100000,24,"[43, 44, 45, 46, 47, 48]"
39,171,342,100000,[53]
40,194,388,136,"[49, 57]"
41,118,100000,83,"[48, 52, 54]"
42,36,100000,25,[50]
43,56,112,39,[53]
44,40,100000,28,[66]
45,48,96,100000,"[54, 55]"
46,300,100000,100000,[51]
47,89,178,62,"[51, 52, 63]"
48,120,240,100000,[53]
49,201,402,100000,"[51, 55, 56, 63, 64]"
50,241,482,100000,"[52, 54, 64]"
51,32,100000,22,[67]
52,133,100000,100000,[67]
53,84,168,100000,"[56, 57, 58, 59, 60, 61, 62]"
54,90,180,100000,[63]
55,149,100000,100000,[100]
56,114,228,100000,[84]
57,174,100000,122,[84]
58,180,360,100000,"[68, 69, 70, 82]"
59,244,100000,100000,[]
60,69,138,48,[83]
61,56,112,39,"[81, 86]"
62,158,100000,100000,[64]
63,47,94,100000,"[65, 66, 83]"
64,133,100000,93,[67]
65,242,484,100000,"[68, 69]"
66,317,100000,222,"[70, 71, 72, 86]"
67,131,262,100000,"[73, 74, 75, 76, 77, 78, 79]"
68,402,100000,281,[98]
69,37,100000,100000,"[80, 97, 98]"
70,148,100000,100000,"[80, 98]"
71,49,100000,34,[95]
72,250,100000,175,"[84, 85]"
73,123,246,100000,[]
74,120,100000,100000,[82]
75,58,100000,100000,"[96, 100]"
76,281,562,100000,"[86, 94]"
77,161,100000,100000,"[83, 96]"
78,61,100000,100000,[81]
79,76,100000,100000,[83]
80,99,198,100000,[]
81,80,100000,56,[84]
82,38,100000,27,"[85, 86, 94, 95]"
83,143,100000,100,[94]
84,43,86,100000,"[87, 88, 89, 90, 91, 92]"
85,88,100000,62,[93]
86,152,100000,100000,[99]
87,153,100000,100000,[95]
88,275,550,100000,[]
89,52,100000,100000,[95]
90,52,100000,100000,[]
91,50,100,35,"[94, 96]"
92,159,100000,111,[]
93,108,216,100000,[97]
94,237,100000,166,[100]
95,197,394,100000,[98]
96,47,94,100000,"[98, 99]"
97,28,100000,100000,[]
98,97,194,100000,[]
99,43,100000,100000,[]
100,180,100000,100000,[]
