task,th,tr,tc,successor
1,282,100000,197,[6]
2,183,100000,100000,"[5, 9, 14, 23]"
3,517,100000,100000,"[7, 8]"
4,61,122,100000,[7]
5,31,62,100000,[12]
6,48,96,100000,[10]
7,272,544,100000,"[11, 14, 15, 16, 59]"
8,446,100000,100000,[13]
9,268,100000,188,[93]
10,450,100000,100000,[17]
11,151,302,106,[18]
12,52,104,36,[19]
13,406,812,100000,[20]
14,139,100000,97,"[21, 22, 25]"
15,414,100000,100000,[24]
16,279,100000,195,"[23, 24, 26]"
17,187,100000,100000,[27]
18,90,100000,100000,[28]
19,121,100000,100000,[31]
20,224,100000,157,[29]
21,103,100000,100000,[36]
22,472,100000,330,"[30, 34, 47]"
23,414,100000,290,[]
24,114,100000,100000,"[33, 35, 37, 56]"
25,133,100000,100000,"[46, 85]"
26,85,170,100000,[32]
27,185,100000,130,[38]
28,591,1182,100000,[40]
29,128,100000,100000,[45]
30,455,100000,318,"[39, 46, 67]"
31,118,236,100000,[48]
32,519,1038,100000,[41]
33,359,100000,251,"[42, 43]"
34,291,100000,204,[68]
35,112,224,100000,"[44, 83]"
36,115,230,80,[49]
37,241,482,169,"[47, 58]"
38,255,100000,178,[56]
39,175,100000,122,[50]
40,73,146,51,[51]
41,267,100000,100000,[55]
42,129,100000,90,[52]
43,343,100000,100000,[53]
44,326,100000,228,"[54, 75]"
45,207,100000,100000,[]
46,64,100000,45,"[58, 74]"
47,146,100000,102,[57]
48,486,100000,340,"[59, 93]"
49,196,392,100000,[]
50,152,304,100000,[63]
51,291,100000,100000,[60]
52,181,100000,100000,[61]
53,202,100000,100000,[62]
54,329,100000,230,[65]
55,323,646,226,[66]
56,71,142,50,[68]
57,268,536,100000,[64]
58,516,100000,100000,[]
59,129,258,100000,[67]
60,152,100000,100000,[72]
61,120,100000,84,[74]
62,538,100000,377,[69]
63,212,424,148,[70]
64,262,524,183,[71]
65,21,42,15,[77]
66,273,100000,100000,[73]
67,40,100000,100000,"[75, 78]"
68,554,100000,388,[76]
69,165,100000,100000,[83]
70,250,100000,175,[83]
71,388,100000,100000,[83]
72,291,100000,100000,[82]
73,282,100000,100000,[83]
74,37,100000,100000,"[79, 84]"
75,248,496,100000,"[80, 86]"
76,239,478,167,[81]
77,193,100000,100000,[85]
78,217,434,100000,[]
79,248,496,100000,[87]
80,213,426,149,[88]
81,35,100000,100000,[89]
82,90,180,100000,[90]
83,342,684,239,"[92, 94]"
84,35,100000,100000,[]
85,499,998,100000,"[91, 93]"
86,127,100000,100000,[]
87,135,270,100000,[95]
88,254,100000,100000,[96]
89,207,100000,100000,[97]
90,43,100000,30,[96]
91,504,1008,353,[98]
92,160,320,112,"[98, 99, 100]"
93,384,768,100000,[]
94,305,610,100000,[]
95,104,208,100000,[]
96,225,450,158,[]
97,515,100000,100000,[]
98,222,100000,100000,[]
99,567,100000,100000,[]
100,97,194,100000,[]
