task,th,tr,tc,successor
1,333,666,100000,"[8, 10, 13, 14]"
2,542,1084,100000,"[8, 11, 14]"
3,500,100000,100000,[84]
4,364,100000,255,[83]
5,376,752,100000,"[10, 11]"
6,343,686,240,"[9, 13]"
7,657,100000,460,"[8, 12, 20]"
8,706,100000,494,"[15, 26]"
9,301,100000,100000,"[15, 16, 17, 18]"
10,423,846,296,"[15, 16, 17, 18]"
11,452,904,100000,[76]
12,581,1162,100000,"[28, 31]"
13,389,778,100000,"[15, 16, 26]"
14,382,764,100000,"[18, 19, 30, 33]"
15,609,100000,100000,"[19, 22, 23, 24, 27, 29]"
16,430,100000,100000,"[19, 20, 21, 24, 53]"
17,546,100000,100000,"[25, 27]"
18,509,1018,356,"[26, 27]"
19,380,760,100000,"[36, 39, 51]"
20,529,100000,100000,"[32, 67]"
21,804,100000,563,[29]
22,517,1034,100000,"[30, 57]"
23,710,100000,497,[28]
24,411,822,100000,[33]
25,436,100000,100000,"[28, 30]"
26,635,100000,100000,[34]
27,555,1110,388,"[31, 36, 43]"
28,554,100000,388,"[32, 33, 43]"
29,559,100000,391,"[46, 67]"
30,697,1394,488,[34]
31,387,774,271,[32]
32,632,1264,442,"[35, 37]"
33,289,100000,202,[36]
34,472,100000,100000,"[35, 38, 39]"
35,466,100000,326,"[45, 56]"
36,754,1508,100000,"[42, 44]"
37,197,100000,138,"[40, 41, 46]"
38,528,1056,100000,"[41, 43]"
39,450,100000,100000,"[50, 72, 73, 77]"
40,411,100000,288,"[49, 50, 51, 76]"
41,632,100000,100000,"[49, 64]"
42,617,1234,100000,"[50, 52, 58, 64, 67]"
43,621,1242,100000,"[47, 48]"
44,222,444,100000,"[47, 49, 52]"
45,506,100000,100000,[47]
46,316,632,221,[]
47,450,100000,100000,[58]
48,427,100000,100000,"[53, 54, 55]"
49,554,100000,100000,[]
50,408,816,100000,"[55, 60]"
51,513,100000,100000,"[57, 84]"
52,666,100000,100000,"[54, 56, 93]"
53,299,100000,100000,"[60, 62, 63]"
54,838,100000,100000,[]
55,477,100000,334,[59]
56,569,100000,398,[90]
57,365,100000,255,[87]
58,243,486,170,"[61, 75]"
59,614,100000,100000,[74]
60,539,100000,377,"[65, 97]"
61,511,100000,358,"[66, 68, 69, 70, 71]"
62,626,100000,438,"[64, 67, 87, 93]"
63,366,732,100000,[68]
64,435,100000,100000,[75]
65,549,1098,100000,[]
66,287,574,201,"[73, 76]"
67,631,1262,100000,[90]
68,469,100000,100000,"[74, 76]"
69,483,100000,338,[90]
70,561,100000,100000,"[76, 82]"
71,478,100000,100000,[72]
72,544,100000,100000,[82]
73,358,716,100000,"[78, 88]"
74,570,100000,100000,[81]
75,530,100000,100000,[77]
76,474,948,100000,"[77, 79, 80, 93]"
77,321,100000,100000,"[88, 89]"
78,460,920,100000,"[93, 95]"
79,477,100000,334,[83]
80,526,100000,368,[87]
81,498,100000,100000,"[84, 85, 95, 97]"
82,464,100000,325,"[86, 88]"
83,444,100000,100000,[]
84,378,756,265,[]
85,516,100000,100000,"[89, 92]"
86,524,100000,100000,"[93, 94]"
87,427,100000,299,[92]
88,443,886,310,"[90, 91]"
89,457,914,320,[98]
90,368,736,100000,"[96, 98, 100]"
91,380,100000,100000,"[95, 99]"
92,675,1350,472,[]
93,504,1008,353,[97]
94,488,100000,100000,[]
95,509,100000,356,[]
96,667,100000,100000,[]
97,416,100000,291,[]
98,407,100000,100000,[]
99,648,1296,100000,[]
100,582,1164,407,[]
