task,th,tr,tc,successor
1,32,64,100000,"[5, 6, 7, 8]"
2,253,506,177,"[5, 6, 7, 8]"
3,192,384,100000,"[5, 6, 7, 8]"
4,144,100000,101,[5]
5,104,100000,73,"[9, 10, 11]"
6,137,274,100000,"[51, 52]"
7,137,274,100000,"[9, 10, 11]"
8,99,100000,69,"[9, 10, 11]"
9,259,100000,100000,"[12, 13, 14]"
10,247,100000,100000,"[12, 13, 14]"
11,44,100000,100000,"[12, 13, 14]"
12,124,100000,100000,"[15, 16]"
13,158,316,100000,"[15, 16]"
14,82,100000,57,"[15, 16]"
15,69,100000,100000,"[17, 18, 19]"
16,384,768,100000,"[17, 18, 19]"
17,155,100000,100000,"[20, 21, 22]"
18,60,120,42,"[20, 21, 22]"
19,151,100000,106,"[20, 21, 22]"
20,59,100000,41,"[23, 24]"
21,35,100000,100000,"[23, 24]"
22,134,268,100000,"[23, 24]"
23,23,100000,16,"[25, 26, 27]"
24,222,100000,100000,"[25, 26, 27]"
25,139,100000,97,"[28, 29, 30, 31, 32]"
26,125,100000,100000,"[28, 29, 30, 31, 32]"
27,84,100000,59,"[28, 29, 30, 31, 32]"
28,182,364,100000,"[33, 34]"
29,86,172,60,"[33, 34]"
30,189,100000,132,"[33, 34]"
31,320,640,224,"[33, 34]"
32,140,100000,98,"[33, 34]"
33,148,100000,100000,"[35, 36, 37, 38, 39]"
34,179,358,100000,"[35, 39]"
35,89,100000,62,"[40, 41, 42, 43]"
36,115,100000,100000,"[40, 41]"
37,27,54,100000,[71]
38,129,100000,100000,"[40, 43]"
39,44,88,100000,[41]
40,102,204,100000,"[44, 45]"
41,87,174,100000,[44]
42,95,100000,100000,[45]
43,53,100000,100000,[44]
44,52,100000,100000,"[46, 47, 48, 49, 50]"
45,56,100000,39,"[46, 47]"
46,116,100000,100000,"[51, 57]"
47,121,100000,85,"[51, 52]"
48,142,100000,99,"[51, 52]"
49,78,100000,100000,"[51, 52]"
50,96,100000,100000,"[60, 61]"
51,96,100000,100000,"[53, 54, 55]"
52,188,376,132,"[53, 55, 56, 60]"
53,56,100000,100000,[71]
54,23,100000,100000,"[58, 60]"
55,41,100000,100000,"[59, 61]"
56,97,100000,100000,"[57, 58, 64]"
57,225,100000,158,[62]
58,106,100000,100000,"[62, 63]"
59,80,100000,100000,[62]
60,89,100000,62,"[62, 63, 64]"
61,162,100000,100000,"[64, 68, 69, 70, 71]"
62,98,196,69,"[66, 67]"
63,114,228,100000,[65]
64,143,100000,100,"[82, 84]"
65,208,100000,100000,"[69, 70, 71]"
66,110,220,77,"[68, 69]"
67,162,324,100000,"[68, 69, 70, 71]"
68,154,100000,100000,"[72, 73, 74, 76]"
69,132,264,100000,[77]
70,171,100000,120,"[72, 74, 75, 77]"
71,108,100000,76,"[72, 73]"
72,275,550,100000,[78]
73,154,308,108,"[77, 81]"
74,319,638,223,[79]
75,92,100000,100000,[92]
76,103,206,72,[85]
77,60,100000,100000,"[80, 83]"
78,154,308,108,"[80, 81, 82, 83]"
79,265,100000,100000,"[84, 89]"
80,242,100000,100000,"[85, 86, 87]"
81,50,100,35,[]
82,52,100000,100000,"[85, 88]"
83,272,100000,100000,"[87, 91, 96]"
84,94,188,100000,"[86, 88, 93]"
85,65,100000,100000,"[89, 90]"
86,81,100000,57,[90]
87,62,124,100000,[]
88,137,274,96,[]
89,301,602,100000,[93]
90,39,78,27,"[91, 92]"
91,229,458,100000,"[95, 97]"
92,151,302,106,[100]
93,46,100000,32,"[94, 96]"
94,126,100000,100000,[]
95,176,352,100000,"[98, 100]"
96,171,100000,120,[99]
97,155,310,108,[100]
98,114,228,100000,[]
99,39,100000,27,[]
100,92,184,100000,[]
