task,th,tr,tc,successor
1,82,164,57,"[7, 8]"
2,292,100000,100000,"[5, 6, 7, 8]"
3,133,266,100000,"[5, 6, 7, 8]"
4,98,196,69,"[5, 6, 7, 8]"
5,113,226,100000,"[9, 10, 11]"
6,75,150,52,"[9, 10, 11]"
7,22,44,15,"[9, 10, 11]"
8,103,100000,72,"[9, 10, 11]"
9,124,100000,100000,"[12, 13]"
10,259,100000,181,"[12, 13]"
11,395,100000,276,"[12, 13]"
12,197,100000,100000,"[14, 15, 16, 17, 18]"
13,146,292,102,"[14, 15, 16, 17, 18]"
14,160,320,112,[19]
15,165,100000,100000,"[33, 34, 35]"
16,152,100000,100000,"[19, 20, 21, 22]"
17,107,100000,100000,"[21, 22]"
18,173,346,121,"[19, 22]"
19,199,100000,100000,"[23, 24]"
20,282,100000,100000,"[23, 24]"
21,25,50,18,"[23, 24]"
22,131,100000,92,"[23, 24]"
23,120,240,100000,"[25, 26, 28, 31]"
24,100,200,100000,"[25, 26, 27]"
25,141,100000,100000,[30]
26,123,246,100000,[29]
27,176,100000,100000,"[28, 29, 31]"
28,37,74,100000,[]
29,35,100000,100000,"[32, 34, 35]"
30,115,230,100000,"[32, 33, 34, 35]"
31,297,594,100000,"[32, 33, 34, 35]"
32,80,100000,100000,"[36, 37]"
33,159,318,100000,"[41, 43]"
34,65,130,46,"[36, 37]"
35,90,100000,100000,"[36, 37]"
36,58,116,100000,"[38, 39]"
37,221,442,155,[39]
38,177,354,124,"[40, 41]"
39,73,100000,100000,"[40, 41]"
40,117,234,82,"[42, 43, 44, 45, 46]"
41,187,374,100000,"[42, 44, 45, 46]"
42,180,100000,126,"[47, 48, 51]"
43,92,100000,100000,"[47, 48]"
44,29,58,100000,"[47, 48, 49, 50, 52]"
45,282,564,197,"[47, 50, 51]"
46,66,100000,46,"[47, 66]"
47,113,226,100000,[64]
48,195,100000,136,"[53, 54]"
49,163,100000,100000,[64]
50,124,100000,100000,"[54, 55, 62]"
51,181,100000,100000,"[53, 54]"
52,128,100000,90,[53]
53,85,100000,100000,"[55, 56, 57, 58]"
54,111,100000,100000,[57]
55,189,378,100000,"[59, 60, 61, 63]"
56,123,246,100000,"[59, 60, 61, 62]"
57,86,172,100000,"[59, 60, 63]"
58,185,100000,130,"[59, 60, 61, 63]"
59,104,208,100000,"[64, 65, 66, 67]"
60,43,100000,30,[67]
61,119,100000,100000,"[64, 65, 66]"
62,25,100000,100000,[79]
63,73,100000,51,"[64, 65, 69]"
64,50,100,35,"[68, 70]"
65,344,100000,100000,[87]
66,55,110,38,"[69, 72, 73, 74]"
67,225,100000,158,"[68, 70, 71]"
68,92,184,100000,[74]
69,51,100000,100000,[75]
70,28,100000,100000,"[72, 73]"
71,68,100000,48,[80]
72,128,100000,90,"[75, 76]"
73,201,100000,100000,"[75, 76, 77, 78]"
74,87,100000,100000,"[75, 76, 78]"
75,324,100000,227,"[79, 80, 81, 82]"
76,105,100000,100000,[79]
77,160,100000,112,"[85, 86]"
78,154,100000,100000,"[80, 81]"
79,105,100000,74,"[84, 85]"
80,34,68,24,[83]
81,245,490,100000,[]
82,28,100000,100000,[83]
83,92,100000,64,"[84, 85]"
84,65,100000,100000,"[86, 87, 88]"
85,132,264,100000,"[89, 91]"
86,156,100000,109,"[89, 90]"
87,52,100000,100000,[91]
88,67,100000,47,[]
89,46,100000,100000,[95]
90,161,100000,100000,[94]
91,209,100000,100000,"[92, 93, 96]"
92,72,100000,50,[97]
93,166,332,100000,"[99, 100]"
94,80,100000,100000,[]
95,285,570,100000,[98]
96,189,100000,132,[]
97,113,226,79,[]
98,84,100000,100000,[]
99,119,238,100000,[]
100,122,100000,85,[]
