task,th,tr,tc,successor
1,260,100000,182,[75]
2,340,680,100000,[15]
3,68,100000,48,[15]
4,250,500,175,[15]
5,109,218,76,[15]
6,117,234,100000,[15]
7,505,1010,100000,[15]
8,29,58,100000,"[14, 16, 17]"
9,336,100000,235,"[11, 13, 39]"
10,84,100000,100000,"[12, 18, 19]"
11,471,100000,330,[75]
12,235,100000,100000,[75]
13,57,100000,40,[75]
14,29,100000,100000,[75]
15,78,100000,55,"[22, 23, 24, 25, 26, 27]"
16,483,100000,100000,[29]
17,163,100000,114,"[20, 28, 30]"
18,78,100000,55,[21]
19,94,188,100000,[]
20,289,100000,100000,[75]
21,250,100000,100000,[75]
22,115,230,100000,[]
23,107,214,100000,[]
24,23,100000,16,"[33, 36]"
25,165,100000,115,"[34, 37]"
26,146,292,100000,[]
27,24,100000,17,[]
28,121,100000,100000,[32]
29,145,100000,102,[31]
30,455,910,318,[35]
31,153,100000,107,[75]
32,253,100000,100000,[38]
33,71,100000,100000,[39]
34,38,100000,27,"[42, 72]"
35,141,282,100000,[40]
36,219,438,100000,[41]
37,326,100000,100000,[]
38,349,100000,100000,[44]
39,318,100000,223,[43]
40,374,748,262,"[45, 46, 47, 49]"
41,95,190,100000,[48]
42,153,100000,100000,[]
43,109,218,76,[51]
44,183,366,128,"[52, 54]"
45,148,296,104,[53]
46,91,182,64,"[50, 55]"
47,130,260,91,[]
48,344,100000,100000,[56]
49,126,100000,100000,[]
50,421,100000,100000,[75]
51,47,100000,100000,[58]
52,320,640,224,[59]
53,453,100000,100000,[60]
54,301,100000,211,"[57, 62, 63, 65, 66]"
55,44,100000,100000,"[61, 65]"
56,87,100000,100000,[64]
57,150,100000,100000,[75]
58,152,304,100000,[71]
59,100,200,100000,[69]
60,197,394,138,[67]
61,139,100000,100000,[68]
62,187,100000,131,[]
63,269,538,188,[74]
64,93,100000,100000,"[70, 72]"
65,113,100000,100000,[73]
66,532,1064,100000,[72]
67,221,100000,100000,[75]
68,63,100000,100000,[76]
69,509,1018,100000,[78]
70,122,100000,100000,"[77, 81]"
71,513,100000,100000,"[80, 82]"
72,132,100000,92,[79]
73,191,382,100000,[]
74,173,100000,121,[]
75,149,100000,100000,"[83, 84, 85, 86, 87, 88, 89, 90, 91]"
76,159,100000,100000,[93]
77,20,40,100000,[92]
78,42,100000,100000,[94]
79,263,100000,100000,[95]
80,239,100000,100000,[]
81,325,100000,100000,[]
82,535,1070,374,[]
83,244,100000,100000,[]
84,33,66,100000,[]
85,103,100000,72,[]
86,40,80,100000,[]
87,270,540,189,[100]
88,220,100000,100000,[]
89,220,440,100000,[]
90,497,100000,100000,[]
91,127,254,100000,[]
92,234,100000,164,[98]
93,222,444,155,[96]
94,209,100000,146,[97]
95,145,100000,100000,[99]
96,118,236,83,[]
97,86,172,100000,[]
98,253,506,177,[]
99,90,100000,100000,[]
100,481,962,337,[]
