task,th,tr,tc,successor
1,252,100000,176,[8]
2,38,100000,100000,[12]
3,131,262,92,[13]
4,149,298,100000,"[9, 11, 14, 16]"
5,24,48,100000,"[10, 15]"
6,140,100000,98,"[31, 40]"
7,108,100000,76,[21]
8,50,100,100000,[21]
9,87,174,61,[17]
10,88,176,62,[18]
11,51,100000,100000,[19]
12,66,100000,46,[22]
13,109,218,76,[23]
14,188,376,100000,[20]
15,276,552,100000,"[22, 31]"
16,54,100000,38,"[21, 22]"
17,176,100000,100000,[24]
18,140,280,100000,[27]
19,161,322,113,[25]
20,102,100000,100000,[26]
21,166,100000,100000,"[26, 31]"
22,23,100000,100000,"[26, 27]"
23,193,386,135,"[28, 29, 30, 31]"
24,65,100000,100000,[33]
25,179,358,100000,[32]
26,188,100000,132,"[34, 35, 36]"
27,159,318,111,"[40, 41]"
28,123,100000,86,"[35, 44, 49]"
29,73,100000,100000,[48]
30,31,100000,22,[62]
31,46,92,100000,"[75, 77, 90, 98]"
32,268,100000,188,[37]
33,195,390,100000,[39]
34,31,100000,22,[38]
35,133,100000,93,"[67, 72]"
36,93,186,65,"[40, 41]"
37,26,52,18,[44]
38,149,100000,100000,[42]
39,122,100000,85,[43]
40,72,100000,50,[44]
41,114,100000,100000,"[44, 45, 59]"
42,137,100000,100000,[46]
43,164,328,100000,[47]
44,53,106,100000,"[47, 48]"
45,59,118,100000,"[49, 50, 61, 64]"
46,272,100000,190,[54]
47,204,100000,100000,"[51, 52, 53, 55]"
48,50,100000,100000,"[82, 92, 94]"
49,235,100000,164,"[82, 97]"
50,301,602,100000,[62]
51,28,100000,100000,[56]
52,23,100000,100000,[57]
53,190,100000,100000,[58]
54,133,266,93,[59]
55,93,186,100000,"[60, 61, 62, 63, 64]"
56,77,100000,54,[66]
57,179,100000,100000,[65]
58,154,100000,100000,[67]
59,27,100000,100000,"[78, 83]"
60,225,450,100000,"[67, 76]"
61,160,320,100000,[68]
62,238,476,167,"[69, 75]"
63,91,182,100000,"[68, 69, 76]"
64,167,100000,100000,"[67, 73, 74]"
65,81,100000,100000,[71]
66,145,100000,100000,[70]
67,152,100000,100000,[78]
68,158,316,111,"[72, 73]"
69,128,100000,100000,"[71, 83, 85]"
70,22,100000,100000,[76]
71,149,100000,104,"[74, 78]"
72,233,100000,163,"[75, 77, 78, 95]"
73,239,478,100000,[100]
74,57,100000,40,"[79, 81]"
75,176,352,123,"[80, 84, 85, 91]"
76,235,470,100000,[83]
77,73,100000,100000,[97]
78,29,58,100000,"[82, 84]"
79,124,248,100000,[86]
80,154,100000,108,[87]
81,73,146,100000,[89]
82,91,182,100000,"[88, 90, 99]"
83,201,402,141,"[90, 91, 95, 97]"
84,25,100000,18,[92]
85,124,248,100000,[]
86,76,100000,53,[94]
87,76,100000,100000,[94]
88,200,400,140,[93]
89,139,100000,100000,[95]
90,169,100000,100000,[]
91,97,100000,100000,[]
92,195,100000,100000,"[96, 97]"
93,60,100000,100000,[98]
94,98,100000,100000,[99]
95,124,100000,100000,[98]
96,221,100000,100000,[]
97,194,100000,136,[100]
98,184,100000,100000,[]
99,99,100000,69,[]
100,303,606,212,[]
