task,th,tr,tc,successor
1,271,100000,190,[33]
2,86,100000,100000,[33]
3,155,310,100000,[45]
4,572,1144,400,[45]
5,424,848,297,[60]
6,452,100000,100000,[60]
7,191,100000,100000,"[8, 9, 10, 11, 12, 13]"
8,492,984,344,[33]
9,113,100000,79,[45]
10,27,100000,19,[45]
11,144,100000,100000,[92]
12,174,100000,100000,"[14, 18]"
13,223,100000,100000,"[14, 15, 16, 17, 23, 34]"
14,132,264,92,[33]
15,586,100000,410,[60]
16,302,100000,100000,[60]
17,165,100000,100000,[60]
18,333,666,100000,"[19, 20, 21, 22, 23, 24]"
19,113,226,79,[33]
20,186,372,100000,[33]
21,458,100000,321,[33]
22,65,100000,100000,[80]
23,401,802,281,"[26, 27, 29]"
24,367,734,257,"[25, 28, 30, 31, 32]"
25,367,734,257,[33]
26,82,100000,100000,[33]
27,520,100000,364,[33]
28,101,202,100000,[33]
29,237,100000,100000,[45]
30,348,696,244,[92]
31,426,100000,298,[60]
32,527,1054,100000,"[34, 35, 36, 37, 38, 47]"
33,189,100000,132,"[39, 40, 41, 42, 43, 44]"
34,532,1064,100000,[60]
35,240,100000,100000,[60]
36,55,100000,100000,[60]
37,47,100000,100000,"[60, 73]"
38,366,100000,100000,"[46, 75, 79, 81]"
39,200,400,100000,[45]
40,183,366,128,[92]
41,139,100000,100000,[60]
42,124,100000,100000,"[47, 48, 62]"
43,194,100000,100000,[45]
44,45,90,31,"[46, 56, 57, 61, 62]"
45,292,100000,100000,"[49, 50, 51, 52, 53, 54, 55, 58]"
46,218,100000,100000,[92]
47,205,100000,100000,"[49, 57, 75]"
48,248,496,100000,"[56, 73]"
49,427,854,299,[80]
50,146,292,100000,[60]
51,230,100000,100000,"[74, 75, 76, 79]"
52,170,340,100000,[86]
53,162,324,100000,"[61, 81]"
54,532,100000,100000,"[59, 62, 79]"
55,208,416,146,[59]
56,30,100000,21,[60]
57,136,272,100000,"[74, 77]"
58,42,100000,100000,"[59, 60]"
59,572,100000,400,[80]
60,234,100000,164,"[63, 64, 65, 66, 67, 68, 69, 70, 71, 72]"
61,429,100000,300,[73]
62,509,100000,100000,"[81, 100]"
63,490,980,100000,"[74, 75, 76, 77]"
64,151,100000,100000,"[74, 79]"
65,124,100000,100000,[]
66,161,100000,100000,"[74, 75]"
67,220,440,100000,"[77, 78]"
68,243,100000,100000,"[76, 79, 87]"
69,259,100000,100000,"[74, 76]"
70,81,100000,100000,[]
71,253,100000,177,"[74, 78, 79]"
72,423,100000,296,"[74, 79]"
73,77,154,100000,"[78, 80]"
74,163,326,114,[80]
75,373,746,261,[80]
76,72,100000,50,"[81, 91]"
77,254,508,178,[87]
78,47,100000,100000,[90]
79,193,386,135,[]
80,438,876,100000,"[82, 83, 84, 85, 86, 87]"
81,265,100000,100000,[94]
82,117,100000,100000,"[88, 100]"
83,264,528,185,[]
84,94,100000,100000,"[89, 90]"
85,172,100000,100000,"[89, 91]"
86,542,100000,100000,"[91, 93, 94]"
87,155,310,108,[93]
88,173,100000,121,[92]
89,91,182,64,[93]
90,30,100000,100000,"[94, 95]"
91,55,110,100000,[95]
92,164,100000,115,"[96, 97, 98, 99]"
93,478,956,335,[100]
94,385,100000,100000,[]
95,159,100000,100000,[100]
96,104,100000,100000,[]
97,100,200,100000,[]
98,30,100000,100000,[]
99,207,100000,145,[]
100,198,396,139,[]
