task,th,tr,tc,successor
1,202,100000,100000,[6]
2,195,390,136,[7]
3,151,100000,106,[8]
4,446,892,312,[8]
5,168,100000,118,[8]
6,55,110,100000,[9]
7,467,934,100000,[10]
8,178,100000,125,"[11, 12]"
9,199,100000,100000,[14]
10,101,202,100000,[15]
11,470,100000,100000,"[13, 15, 16, 17]"
12,215,100000,100000,"[15, 16, 17]"
13,220,440,154,[18]
14,245,100000,100000,[19]
15,127,100000,100000,"[20, 21, 22, 23, 24, 25]"
16,272,100000,190,"[20, 21, 22, 23, 24, 25]"
17,171,342,120,"[20, 21, 22, 23, 24, 25]"
18,500,1000,350,[26]
19,556,1112,100000,[28]
20,76,100000,100000,"[27, 28, 29, 30, 31]"
21,34,100000,24,"[28, 29, 30]"
22,79,100000,100000,"[28, 29, 30, 31]"
23,104,100000,100000,"[28, 29, 30, 31]"
24,132,264,100000,"[28, 29, 30, 31]"
25,340,100000,100000,[34]
26,40,100000,100000,[33]
27,445,100000,100000,[32]
28,204,408,100000,"[33, 34]"
29,446,100000,312,"[33, 34, 35, 36]"
30,186,100000,130,"[33, 50]"
31,334,100000,100000,"[33, 35, 36]"
32,250,500,100000,[37]
33,128,100000,100000,"[39, 40, 41]"
34,134,100000,94,"[38, 39, 40, 41]"
35,239,478,100000,[40]
36,92,100000,64,[52]
37,289,578,100000,[42]
38,73,100000,100000,[43]
39,25,50,100000,"[44, 88, 92]"
40,251,100000,100000,"[45, 51, 86]"
41,221,100000,155,"[45, 46]"
42,129,100000,90,[47]
43,140,100000,98,[50]
44,480,100000,100000,[48]
45,79,100000,55,"[49, 52, 81]"
46,187,100000,131,"[51, 57]"
47,45,100000,100000,[53]
48,336,672,100000,[55]
49,541,100000,100000,[54]
50,111,100000,78,"[57, 64]"
51,103,206,100000,[56]
52,191,100000,100000,"[65, 82]"
53,144,100000,100000,[58]
54,136,272,95,[59]
55,97,100000,68,[61]
56,156,312,109,"[60, 63, 64, 87]"
57,342,684,239,"[62, 65]"
58,218,436,153,[66]
59,183,100000,100000,[67]
60,66,132,100000,[68]
61,148,100000,104,[70]
62,94,188,66,"[69, 72, 73, 74, 98]"
63,229,458,100000,[71]
64,334,100000,100000,"[72, 74, 92]"
65,329,100000,100000,[87]
66,160,100000,112,[81]
67,305,610,100000,[78]
68,301,100000,100000,[75]
69,183,366,128,[76]
70,156,312,100000,[77]
71,132,100000,92,[80]
72,79,158,100000,[79]
73,54,108,38,[86]
74,226,452,158,"[82, 88]"
75,157,314,100000,[85]
76,199,100000,100000,[86]
77,457,914,100000,[85]
78,272,100000,190,[83]
79,76,152,100000,[84]
80,85,170,59,[88]
81,166,332,100000,[87]
82,162,100000,113,[]
83,120,100000,100000,[90]
84,228,456,100000,[91]
85,92,100000,64,"[94, 95, 98]"
86,135,100000,100000,[91]
87,212,100000,100000,"[89, 91, 92, 94, 95]"
88,500,1000,100000,[93]
89,126,100000,100000,[96]
90,64,100000,45,[97]
91,67,100000,100000,"[99, 100]"
92,134,100000,94,[98]
93,41,100000,100000,[99]
94,202,100000,100000,[]
95,118,100000,100000,"[99, 100]"
96,84,168,100000,[]
97,541,1082,379,[]
98,45,100000,100000,[]
99,219,438,100000,[]
100,533,100000,373,[]
