task,th,tr,tc,successor
1,281,100000,197,[3]
2,209,100000,100000,"[4, 5, 6, 7, 8, 9]"
3,448,896,100000,[11]
4,242,484,100000,[13]
5,41,100000,29,[15]
6,226,452,100000,"[10, 14, 16, 17, 18]"
7,201,100000,100000,"[12, 16, 18]"
8,88,176,100000,"[51, 61]"
9,255,100000,178,"[16, 17, 18]"
10,164,100000,100000,[19]
11,390,780,100000,[20]
12,110,100000,77,[21]
13,139,100000,100000,[23]
14,268,100000,188,[24]
15,288,100000,100000,[26]
16,209,100000,146,"[22, 25, 27]"
17,130,100000,100000,[27]
18,518,1036,100000,[27]
19,519,1038,363,[33]
20,157,100000,100000,[34]
21,619,1238,100000,[29]
22,273,100000,191,[30]
23,192,384,100000,[33]
24,99,198,100000,[31]
25,230,100000,100000,[32]
26,154,100000,108,[33]
27,176,100000,123,"[28, 33, 34, 35, 36]"
28,84,168,100000,[38]
29,85,100000,100000,[37]
30,281,562,100000,[39]
31,300,600,100000,[41]
32,35,100000,100000,[42]
33,128,100000,100000,"[41, 42, 43]"
34,51,100000,36,"[41, 42, 43]"
35,388,100000,100000,"[40, 41, 42, 43]"
36,365,730,255,"[41, 42, 43]"
37,264,100000,100000,[44]
38,273,546,100000,[49]
39,358,716,251,[45]
40,102,100000,100000,[46]
41,337,100000,236,"[47, 48, 49, 50, 51]"
42,33,100000,100000,"[51, 56, 57]"
43,263,526,184,"[49, 50, 51]"
44,65,100000,46,[52]
45,45,90,100000,[55]
46,541,1082,100000,[56]
47,408,816,286,[53]
48,296,592,100000,[54]
49,459,100000,100000,"[55, 56]"
50,49,98,100000,"[57, 80, 96]"
51,131,100000,92,"[58, 63]"
52,240,480,100000,[59]
53,382,100000,100000,[61]
54,266,100000,100000,[60]
55,248,100000,100000,"[61, 62, 63, 64]"
56,286,100000,200,"[61, 62, 63, 64]"
57,127,254,89,"[88, 92]"
58,467,934,100000,"[62, 64]"
59,128,100000,90,[65]
60,117,100000,100000,[66]
61,514,100000,100000,"[67, 68]"
62,203,100000,142,[69]
63,101,100000,100000,"[71, 72, 73, 74]"
64,30,100000,21,[66]
65,90,100000,63,[70]
66,135,100000,100000,"[71, 72, 74]"
67,238,476,100000,"[73, 74]"
68,305,100000,100000,"[92, 97]"
69,185,100000,100000,"[72, 74, 78]"
70,324,100000,100000,[76]
71,164,100000,115,"[75, 77, 79, 80, 81, 92]"
72,226,100000,100000,"[77, 79, 80, 83]"
73,39,100000,27,"[78, 79, 80, 96]"
74,523,100000,100000,"[77, 81, 84, 87]"
75,556,100000,389,[82]
76,327,100000,229,[83]
77,324,648,227,[]
78,221,442,100000,[99]
79,135,270,100000,[84]
80,224,100000,157,[98]
81,491,100000,100000,"[89, 96]"
82,221,100000,155,[85]
83,95,190,66,"[87, 89, 90, 92]"
84,266,532,186,"[86, 88, 91, 95]"
85,144,288,100000,[93]
86,269,538,188,[94]
87,70,140,49,[96]
88,110,220,100000,"[97, 99]"
89,176,100000,100000,[]
90,249,100000,100000,[95]
91,75,150,100000,[98]
92,289,100000,202,[95]
93,22,100000,100000,[97]
94,580,100000,100000,[97]
95,67,100000,47,[98]
96,248,496,174,[]
97,121,242,85,[]
98,134,268,100000,"[99, 100]"
99,62,100000,100000,[]
100,331,662,232,[]
