task,th,tr,tc,successor
1,155,310,100000,"[8, 10]"
2,170,100000,119,"[9, 14, 23, 64, 82, 97]"
3,95,100000,100000,"[13, 14, 44, 50, 73]"
4,178,356,125,[11]
5,317,100000,100000,"[12, 15]"
6,29,58,20,"[52, 54]"
7,116,232,100000,[19]
8,57,114,100000,[16]
9,115,100000,80,[17]
10,101,100000,71,[18]
11,171,342,100000,"[24, 59]"
12,117,234,82,"[19, 20, 21, 23]"
13,86,100000,100000,"[22, 54]"
14,141,100000,99,[]
15,73,100000,100000,[]
16,223,100000,156,[31]
17,174,100000,122,[26]
18,257,514,100000,[27]
19,168,100000,100000,"[25, 50, 53]"
20,248,100000,100000,[28]
21,101,202,71,"[29, 31, 33]"
22,255,510,100000,"[30, 32]"
23,44,100000,31,[59]
24,146,100000,100000,[]
25,84,100000,59,[34]
26,83,100000,58,[35]
27,146,100000,100000,[36]
28,24,100000,100000,[37]
29,198,100000,100000,[38]
30,37,74,26,[39]
31,72,100000,50,"[42, 45]"
32,285,570,100000,"[40, 41, 64, 84, 97]"
33,281,562,197,"[41, 43, 44, 64]"
34,143,100000,100000,[49]
35,66,132,46,[47]
36,83,166,100000,[46]
37,75,150,100000,[50]
38,256,512,100000,[49]
39,59,100000,41,[49]
40,330,100000,100000,[48]
41,191,100000,134,"[52, 59]"
42,175,350,100000,"[53, 54, 98]"
43,87,100000,61,[51]
44,88,176,100000,[]
45,75,100000,100000,[73]
46,137,100000,100000,[56]
47,146,100000,102,[55]
48,260,100000,100000,[57]
49,22,100000,100000,"[58, 59]"
50,198,100000,139,[]
51,167,334,100000,[60]
52,29,100000,20,[]
53,77,100000,100000,"[61, 92]"
54,62,100000,100000,[]
55,240,100000,168,[62]
56,68,136,100000,[63]
57,161,322,100000,[]
58,81,162,100000,"[64, 65]"
59,112,224,100000,[74]
60,59,100000,100000,[66]
61,308,100000,216,[66]
62,288,100000,100000,[68]
63,188,376,100000,[67]
64,112,224,100000,"[69, 71]"
65,162,324,100000,"[72, 74, 75]"
66,112,224,100000,"[70, 73, 93]"
67,76,100000,100000,[79]
68,114,100000,80,[80]
69,146,292,102,[81]
70,117,100000,82,"[76, 77, 78, 84, 91, 100]"
71,119,100000,83,[]
72,177,354,100000,"[82, 83]"
73,59,100000,100000,[]
74,170,100000,100000,[]
75,86,172,100000,[91]
76,210,100000,147,[85]
77,281,100000,197,[86]
78,150,100000,105,[87]
79,328,656,100000,[90]
80,141,100000,99,[88]
81,113,100000,79,[91]
82,207,100000,100000,"[89, 93]"
83,245,100000,100000,[92]
84,199,398,100000,[]
85,86,172,100000,[96]
86,187,100000,131,[96]
87,246,100000,100000,[97]
88,331,662,100000,[94]
89,205,100000,144,[95]
90,73,100000,100000,[98]
91,28,100000,20,[99]
92,89,178,100000,[100]
93,107,100000,75,[]
94,102,100000,100000,[]
95,124,100000,100000,[]
96,161,322,100000,[]
97,129,258,100000,[]
98,126,100000,88,[]
99,21,42,100000,[]
100,118,236,83,[]
