task,th,tr,tc,successor
1,463,926,100000,[10]
2,531,1062,100000,"[5, 7, 8]"
3,534,100000,374,"[5, 6, 7]"
4,397,794,100000,"[5, 6, 9, 35]"
5,451,100000,316,[24]
6,408,816,286,"[12, 13]"
7,625,1250,438,[11]
8,525,1050,368,"[11, 20, 32]"
9,566,100000,100000,[19]
10,409,818,100000,"[25, 31, 35, 58]"
11,638,100000,100000,"[14, 15]"
12,666,1332,100000,"[14, 18, 19, 20]"
13,478,100000,335,"[16, 17, 18, 19, 27]"
14,276,100000,100000,"[75, 94]"
15,411,822,100000,"[22, 24, 47]"
16,339,678,237,"[21, 48, 62]"
17,444,888,100000,"[21, 55]"
18,515,1030,100000,[21]
19,741,1482,100000,"[21, 23]"
20,661,100000,463,"[25, 28, 34, 38]"
21,451,100000,100000,"[33, 61]"
22,570,1140,399,"[26, 30, 31, 71]"
23,421,842,100000,"[28, 29, 32, 39]"
24,604,100000,423,"[26, 27, 28, 29, 33]"
25,486,100000,340,"[43, 50, 69]"
26,485,100000,340,"[39, 54, 83]"
27,456,100000,100000,"[39, 46]"
28,385,100000,100000,[37]
29,506,100000,100000,[36]
30,503,100000,100000,[35]
31,540,1080,378,"[38, 48, 51]"
32,398,100000,100000,[34]
33,412,100000,100000,[43]
34,754,100000,528,"[41, 43, 45]"
35,492,100000,100000,"[40, 51]"
36,526,100000,100000,"[44, 53]"
37,240,100000,100000,"[40, 42, 45]"
38,611,1222,100000,[]
39,463,100000,100000,[57]
40,438,100000,307,"[49, 70, 86]"
41,374,100000,100000,"[46, 47]"
42,547,100000,383,"[66, 83]"
43,145,100000,100000,"[66, 68, 70, 71]"
44,631,100000,100000,"[48, 49]"
45,302,100000,211,[46]
46,478,956,335,"[51, 52, 53, 55]"
47,499,100000,349,"[55, 100]"
48,625,100000,100000,[50]
49,453,100000,100000,"[50, 54]"
50,543,1086,100000,"[57, 59, 82]"
51,480,100000,336,"[60, 61, 62, 63, 84]"
52,708,100000,496,[56]
53,578,100000,100000,"[57, 66, 83]"
54,679,100000,475,[75]
55,461,922,323,"[58, 81]"
56,403,806,282,"[64, 66, 83]"
57,651,100000,100000,"[64, 65, 67, 80]"
58,327,654,229,"[70, 71, 96]"
59,520,100000,100000,[]
60,591,100000,414,[68]
61,674,1348,100000,[69]
62,371,100000,100000,"[67, 77]"
63,402,100000,281,"[68, 74, 75, 81]"
64,286,100000,100000,"[72, 73, 75]"
65,297,100000,208,"[90, 91]"
66,367,734,257,"[72, 82]"
67,622,100000,100000,"[74, 90]"
68,575,1150,402,"[76, 77]"
69,356,712,249,[75]
70,373,746,100000,"[89, 97]"
71,478,100000,100000,"[74, 77]"
72,541,100000,100000,"[78, 81]"
73,557,100000,390,"[79, 93]"
74,446,892,100000,[79]
75,497,994,100000,[]
76,536,1072,375,[80]
77,414,828,290,"[82, 83, 90]"
78,427,100000,100000,"[84, 85, 87, 88]"
79,705,1410,493,[95]
80,542,1084,100000,"[87, 89, 91]"
81,737,100000,100000,[94]
82,685,100000,100000,[89]
83,502,100000,100000,[86]
84,445,100000,100000,[91]
85,315,100000,100000,"[92, 93]"
86,545,1090,100000,[99]
87,448,896,100000,[94]
88,534,1068,100000,[90]
89,503,1006,100000,[]
90,573,100000,100000,"[97, 98]"
91,351,100000,246,"[96, 97, 99]"
92,438,100000,100000,"[99, 100]"
93,490,980,343,[100]
94,548,100000,100000,[95]
95,565,1130,396,[]
96,585,100000,100000,[]
97,656,1312,459,[]
98,619,100000,100000,[]
99,422,100000,295,[]
100,425,100000,100000,[]
