task,th,tr,tc,successor
1,501,100000,100000,[11]
2,286,100000,200,[12]
3,401,802,281,"[8, 9, 10]"
4,687,100000,100000,"[15, 45]"
5,689,100000,482,[14]
6,517,100000,362,"[13, 16, 24]"
7,652,1304,456,"[17, 18]"
8,392,784,274,[19]
9,304,100000,100000,[20]
10,463,926,100000,[21]
11,479,100000,335,[22]
12,643,100000,450,[25]
13,450,900,315,"[23, 26]"
14,533,100000,373,[24]
15,552,100000,100000,"[24, 68]"
16,379,758,100000,[95]
17,483,100000,100000,"[47, 69]"
18,416,100000,100000,"[26, 27, 90]"
19,506,100000,100000,[28]
20,503,100000,352,[29]
21,495,100000,346,[33]
22,628,1256,100000,[30]
23,501,1002,100000,[32]
24,372,100000,100000,"[31, 85]"
25,751,100000,526,[]
26,659,1318,100000,[34]
27,527,1054,369,"[35, 64]"
28,607,1214,425,[37]
29,474,100000,332,[38]
30,513,100000,359,[36]
31,354,100000,248,[40]
32,358,100000,100000,[41]
33,663,100000,464,"[42, 43, 45]"
34,534,100000,100000,"[39, 44, 47]"
35,568,100000,100000,[46]
36,561,100000,100000,[48]
37,330,100000,231,[50]
38,403,806,282,[51]
39,524,1048,100000,[54]
40,538,100000,377,[49]
41,491,982,100000,"[52, 58, 66]"
42,487,100000,100000,[53]
43,416,100000,100000,[99]
44,536,100000,100000,[56]
45,442,100000,100000,[55]
46,468,100000,100000,[57]
47,405,810,100000,[]
48,706,100000,100000,[62]
49,493,100000,100000,[59]
50,402,804,281,[63]
51,437,874,306,[64]
52,396,100000,277,[60]
53,404,808,283,[61]
54,517,1034,100000,[63]
55,418,100000,100000,"[67, 68, 90]"
56,437,100000,306,[69]
57,396,792,100000,"[65, 66]"
58,343,100000,100000,[]
59,548,100000,100000,[70]
60,672,1344,100000,[72]
61,403,100000,282,[71]
62,451,100000,100000,[73]
63,463,100000,100000,"[74, 75, 76]"
64,214,100000,150,[]
65,429,100000,100000,[]
66,701,100000,491,[87]
67,529,1058,100000,[]
68,580,1160,100000,[92]
69,662,1324,463,"[77, 78]"
70,408,816,100000,[79]
71,362,100000,253,[80]
72,653,100000,100000,[83]
73,435,100000,100000,[83]
74,617,1234,432,[81]
75,402,100000,100000,[82]
76,265,100000,100000,"[85, 93]"
77,395,100000,100000,[84]
78,600,100000,420,[]
79,148,296,100000,[87]
80,474,948,100000,[86]
81,578,1156,405,[87]
82,340,100000,238,[87]
83,378,100000,100000,"[90, 91, 97]"
84,469,100000,328,"[89, 95]"
85,440,880,100000,[88]
86,644,100000,100000,[92]
87,558,1116,100000,[92]
88,514,1028,360,[94]
89,469,938,100000,"[92, 93]"
90,531,1062,372,[]
91,542,100000,100000,[]
92,373,746,100000,"[96, 97, 98]"
93,452,100000,100000,[96]
94,481,962,100000,"[95, 99, 100]"
95,300,600,100000,[]
96,610,100000,100000,[]
97,694,1388,486,[]
98,441,100000,100000,[]
99,389,778,100000,[]
100,510,1020,100000,[]
