task,th,tr,tc,successor
1,177,354,100000,[34]
2,198,396,139,[34]
3,167,100000,100000,[20]
4,160,100000,100000,"[5, 6, 7, 8, 9, 10]"
5,132,100000,100000,[90]
6,161,100000,113,[90]
7,40,100000,28,[20]
8,138,100000,100000,[20]
9,135,270,100000,[20]
10,62,100000,43,"[11, 12, 13, 14, 15, 16, 17]"
11,252,504,100000,[90]
12,128,256,90,[90]
13,35,100000,100000,[65]
14,80,100000,56,[65]
15,235,470,100000,[20]
16,133,266,93,[51]
17,263,526,184,"[18, 19, 21, 22, 23, 35]"
18,227,454,100000,[34]
19,39,100000,100000,[34]
20,109,100000,100000,"[24, 25, 26, 27, 28, 29, 30, 31, 32]"
21,40,100000,28,"[24, 33, 36]"
22,142,284,100000,[84]
23,121,100000,85,[92]
24,136,272,100000,[34]
25,304,100000,100000,[51]
26,43,100000,100000,"[43, 70, 83]"
27,346,692,100000,"[34, 35]"
28,70,100000,49,"[34, 35, 44]"
29,204,100000,100000,"[61, 85]"
30,164,100000,115,"[52, 60, 69]"
31,204,100000,143,"[34, 36]"
32,36,100000,100000,"[34, 35, 36]"
33,62,124,100000,"[46, 49]"
34,154,100000,100000,"[37, 38, 39, 40, 41, 42, 43, 45]"
35,143,286,100,[51]
36,68,100000,48,"[43, 44]"
37,313,626,219,[46]
38,69,138,100000,[46]
39,114,100000,80,[48]
40,67,134,100000,[]
41,50,100,35,[60]
42,64,100000,100000,"[47, 49]"
43,89,178,100000,[65]
44,81,162,57,"[48, 49]"
45,37,100000,100000,"[48, 50]"
46,106,212,74,[51]
47,98,100000,100000,[51]
48,252,100000,100000,[51]
49,39,100000,100000,"[50, 52, 60, 68, 69]"
50,32,64,100000,[90]
51,237,100000,100000,"[53, 54, 55, 56, 57, 58, 59, 60]"
52,93,100000,65,"[53, 66]"
53,175,100000,122,[65]
54,77,154,100000,"[63, 67]"
55,70,140,49,"[65, 83]"
56,133,266,100000,"[61, 64, 65]"
57,139,100000,97,[]
58,77,154,54,[83]
59,272,100000,100000,"[62, 65, 66, 69, 83]"
60,20,40,14,"[61, 62, 63]"
61,154,308,100000,[90]
62,135,100000,100000,[90]
63,252,100000,176,[65]
64,255,100000,100000,"[66, 67, 68, 69]"
65,76,152,100000,"[71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]"
66,208,100000,146,[70]
67,33,100000,23,[83]
68,88,100000,100000,"[70, 83, 84, 85]"
69,28,100000,100000,[88]
70,125,100000,100000,[90]
71,21,100000,15,"[85, 86]"
72,42,100000,29,[]
73,211,422,100000,[89]
74,127,254,89,[89]
75,77,100000,100000,[]
76,29,100000,20,[]
77,86,172,100000,[84]
78,159,100000,111,[]
79,123,246,100000,[]
80,56,100000,100000,[]
81,93,100000,100000,[84]
82,166,100000,100000,"[88, 90]"
83,125,250,88,[]
84,187,100000,100000,"[86, 87, 88]"
85,267,100000,187,"[87, 89]"
86,449,898,314,[90]
87,42,100000,29,[91]
88,158,100000,100000,[]
89,115,100000,100000,[92]
90,156,100000,100000,"[93, 94, 95, 96, 97, 98, 99, 100]"
91,123,246,100000,[]
92,112,224,78,[]
93,229,100000,100000,[]
94,131,262,100000,[]
95,203,100000,100000,[]
96,259,100000,100000,[]
97,160,320,100000,[]
98,190,100000,100000,[]
99,91,100000,100000,[]
100,101,202,71,[]
