task,th,tr,tc,successor
1,110,100000,100000,[]
2,181,100000,100000,[11]
3,98,196,69,[58]
4,154,100000,108,[15]
5,68,100000,100000,[13]
6,126,252,100000,"[11, 12]"
7,173,100000,100000,"[14, 83]"
8,119,100000,83,[]
9,71,100000,100000,"[10, 42, 62]"
10,145,290,102,"[16, 50]"
11,43,100000,100000,"[18, 20, 24, 25]"
12,83,100000,58,"[17, 23, 31]"
13,137,100000,100000,"[19, 22, 23]"
14,76,152,53,"[21, 26]"
15,187,100000,100000,[]
16,188,376,100000,"[27, 67, 80]"
17,137,100000,100000,[33]
18,236,472,100000,[86]
19,199,100000,139,[30]
20,37,100000,26,[32]
21,181,100000,100000,"[49, 73, 85]"
22,235,100000,100000,[]
23,187,100000,131,"[34, 85]"
24,199,398,100000,"[31, 33, 98]"
25,114,228,100000,[29]
26,61,122,43,"[28, 72]"
27,247,100000,173,"[39, 47, 93]"
28,22,100000,100000,[]
29,193,386,135,"[38, 41, 44]"
30,171,100000,120,[43]
31,238,100000,167,[37]
32,69,100000,100000,[42]
33,93,186,65,[40]
34,151,302,100000,"[35, 36]"
35,155,100000,108,"[47, 77]"
36,279,100000,195,[46]
37,95,100000,100000,"[64, 77]"
38,153,306,100000,"[45, 94]"
39,211,100000,148,[]
40,91,100000,64,[83]
41,82,100000,57,[99]
42,244,100000,100000,[50]
43,78,156,100000,[49]
44,142,100000,100000,[48]
45,32,64,22,"[53, 56, 57, 70, 95]"
46,136,272,95,"[54, 89]"
47,124,100000,100000,"[55, 78]"
48,66,100000,100000,[59]
49,207,414,100000,[]
50,305,610,100000,"[51, 52, 58]"
51,79,158,100000,[88]
52,100,200,70,"[61, 63]"
53,47,100000,100000,[87]
54,67,100000,100000,[66]
55,55,100000,38,[]
56,22,100000,100000,"[66, 87]"
57,232,100000,100000,"[62, 64, 65]"
58,191,100000,100000,[60]
59,327,100000,229,"[67, 97]"
60,97,194,100000,[]
61,159,100000,100000,[70]
62,163,326,100000,[91]
63,92,100000,64,"[74, 75, 76]"
64,228,100000,160,"[68, 72]"
65,147,100000,100000,[]
66,184,100000,129,[69]
67,84,168,59,"[71, 73]"
68,82,164,57,[99]
69,21,100000,100000,[83]
70,111,222,100000,[]
71,149,298,100000,[]
72,107,214,75,[]
73,83,100000,100000,"[77, 79, 82]"
74,159,318,100000,[]
75,146,292,100000,[]
76,61,100000,100000,"[78, 80, 81]"
77,105,210,100000,[]
78,57,114,40,"[89, 92]"
79,75,100000,52,"[84, 88]"
80,69,100000,100000,[]
81,70,100000,100000,"[85, 87, 91]"
82,233,466,163,[86]
83,81,100000,100000,[90]
84,104,100000,73,[93]
85,167,334,100000,"[95, 96]"
86,180,360,100000,[99]
87,66,100000,100000,[99]
88,228,100000,100000,[]
89,220,100000,100000,"[94, 97]"
90,118,236,100000,[]
91,93,186,65,[]
92,203,100000,100000,"[98, 100]"
93,293,100000,205,[]
94,130,260,100000,[]
95,27,54,100000,[]
96,48,96,34,[]
97,31,100000,100000,[]
98,98,196,100000,[]
99,158,100000,111,[]
100,166,100000,116,[]
