task,th,tr,tc,successor
1,54,108,100000,"[31, 99]"
2,154,100000,108,"[8, 10, 11]"
3,133,100000,100000,"[7, 9, 21]"
4,110,220,77,"[6, 7, 8, 20, 21]"
5,71,100000,100000,"[6, 20]"
6,312,624,218,"[12, 16]"
7,93,186,100000,"[12, 13, 24]"
8,153,100000,100000,[23]
9,104,100000,100000,"[12, 23]"
10,111,100000,78,"[12, 13, 15]"
11,53,100000,37,[14]
12,102,100000,100000,[17]
13,164,328,100000,"[17, 18]"
14,97,194,100000,"[17, 18, 21, 24]"
15,23,46,100000,"[17, 20]"
16,249,498,100000,[19]
17,131,100000,92,"[22, 25, 26]"
18,154,308,108,"[22, 31]"
19,345,100000,100000,"[24, 45, 61]"
20,27,100000,100000,"[23, 26, 28]"
21,145,290,102,"[30, 38]"
22,108,216,76,"[27, 28, 29, 32]"
23,317,100000,222,"[27, 32]"
24,200,100000,140,"[31, 32, 49]"
25,27,54,100000,"[27, 29, 34]"
26,159,100000,100000,"[30, 33]"
27,122,244,100000,[37]
28,147,100000,103,"[40, 41]"
29,85,100000,59,"[56, 80, 83]"
30,126,100000,100000,[36]
31,176,100000,123,[]
32,218,100000,100000,"[39, 53]"
33,88,176,62,"[39, 52]"
34,206,412,100000,"[35, 37]"
35,54,108,38,"[42, 52]"
36,163,326,100000,"[39, 40, 43, 44]"
37,190,100000,133,"[38, 41, 45]"
38,129,258,90,"[47, 51]"
39,52,104,36,"[50, 51, 64, 65]"
40,150,100000,100000,[67]
41,68,136,48,"[46, 48, 52, 53, 54]"
42,29,100000,100000,"[77, 89]"
43,68,136,100000,[99]
44,143,100000,100,[46]
45,318,636,223,"[49, 75]"
46,237,474,100000,"[57, 70]"
47,272,100000,100000,"[53, 54, 55, 56, 77, 82]"
48,71,100000,100000,[59]
49,128,100000,100000,[74]
50,177,100000,100000,[68]
51,32,64,22,"[60, 67, 74, 85]"
52,194,100000,136,"[58, 73, 97]"
53,161,100000,113,"[60, 64]"
54,222,100000,155,[61]
55,137,274,100000,"[67, 80]"
56,151,302,100000,[62]
57,29,100000,100000,[63]
58,133,100000,93,[]
59,358,100000,100000,"[65, 81]"
60,102,100000,100000,[95]
61,43,100000,100000,[67]
62,269,100000,188,[]
63,228,100000,100000,"[66, 73]"
64,192,100000,100000,"[66, 68]"
65,38,100000,100000,[69]
66,90,180,100000,"[71, 85]"
67,264,528,100000,"[71, 73]"
68,144,100000,100000,"[71, 72, 73, 74]"
69,135,100000,100000,"[70, 74, 76, 99]"
70,32,100000,100000,"[77, 82]"
71,129,258,100000,"[75, 76, 92]"
72,123,100000,100000,[78]
73,188,376,100000,"[79, 81, 87]"
74,188,100000,100000,"[80, 88]"
75,185,100000,130,"[90, 91]"
76,55,110,100000,"[84, 87, 90]"
77,244,100000,171,[88]
78,115,230,100000,[]
79,30,100000,100000,"[86, 89]"
80,26,100000,100000,[100]
81,69,138,48,[83]
82,157,100000,100000,[85]
83,172,344,100000,[]
84,26,100000,18,[94]
85,73,100000,100000,[92]
86,72,100000,50,[96]
87,72,144,50,[91]
88,147,100000,100000,[]
89,115,230,100000,[93]
90,75,100000,52,[]
91,97,100000,68,"[95, 98]"
92,108,216,76,[]
93,169,100000,118,"[96, 99, 100]"
94,149,100000,100000,[97]
95,77,100000,100000,[]
96,155,100000,100000,[]
97,171,342,100000,[]
98,160,100000,112,[]
99,172,344,120,[]
100,134,268,100000,[]
