task,th,tr,tc,successor
1,214,428,100000,[6]
2,115,230,100000,"[5, 7, 9, 21]"
3,277,554,100000,"[8, 9]"
4,523,1046,100000,[39]
5,284,100000,199,[11]
6,497,994,100000,[12]
7,36,72,100000,[13]
8,266,100000,100000,"[10, 14, 15]"
9,123,100000,86,[16]
10,134,100000,100000,[17]
11,186,372,100000,[20]
12,234,468,100000,[21]
13,390,100000,100000,[18]
14,67,100000,100000,"[19, 24]"
15,275,550,192,"[22, 23]"
16,251,100000,176,"[18, 19, 22, 23]"
17,129,100000,100000,[27]
18,170,100000,119,"[25, 27, 51]"
19,79,100000,100000,"[26, 27, 28, 29, 49]"
20,72,144,50,"[33, 49]"
21,496,992,100000,"[27, 28, 49]"
22,418,100000,293,"[30, 37, 50, 55]"
23,159,318,111,"[27, 28, 29, 49]"
24,107,100000,75,"[27, 28]"
25,220,440,100000,[31]
26,500,1000,100000,[32]
27,123,100000,86,[34]
28,195,390,100000,"[33, 34, 37]"
29,174,348,100000,"[39, 50]"
30,101,100000,71,"[62, 65]"
31,481,100000,100000,[35]
32,369,100000,258,[37]
33,529,100000,370,"[36, 39]"
34,62,100000,100000,"[38, 50]"
35,191,100000,100000,[41]
36,423,846,100000,[42]
37,152,100000,106,"[40, 43, 44]"
38,197,394,138,[45]
39,183,100000,100000,"[43, 44, 45, 55]"
40,159,100000,100000,[47]
41,366,732,100000,[49]
42,202,404,141,[50]
43,72,100000,50,"[46, 51]"
44,335,670,100000,"[48, 66, 98]"
45,558,100000,100000,"[56, 57]"
46,220,100000,100000,[53]
47,198,100000,100000,[52]
48,191,100000,100000,[54]
49,531,100000,100000,"[55, 65, 66]"
50,180,100000,126,[65]
51,50,100,100000,"[56, 57]"
52,148,100000,100000,[58]
53,290,100000,100000,[59]
54,42,84,100000,[60]
55,555,100000,100000,"[72, 73, 78, 84]"
56,425,100000,100000,"[59, 60]"
57,177,354,124,"[61, 62, 63, 65]"
58,98,100000,69,[65]
59,180,360,126,[97]
60,129,100000,90,"[84, 85]"
61,300,600,100000,"[64, 66, 73]"
62,93,186,100000,[97]
63,531,100000,372,[97]
64,311,100000,218,[70]
65,43,100000,100000,"[67, 68, 71, 73]"
66,220,100000,154,"[69, 72, 84]"
67,192,100000,134,[74]
68,187,374,131,[75]
69,150,300,105,[76]
70,310,100000,100000,[78]
71,65,130,100000,[77]
72,567,1134,100000,[97]
73,218,100000,100000,[79]
74,61,100000,100000,[80]
75,188,376,132,[82]
76,32,100000,100000,[83]
77,72,100000,50,[84]
78,161,100000,100000,[81]
79,87,100000,61,"[85, 86]"
80,409,100000,286,[89]
81,78,100000,100000,[87]
82,540,100000,100000,[88]
83,56,112,100000,[90]
84,65,130,46,[]
85,198,100000,100000,[91]
86,38,100000,27,"[92, 96]"
87,177,354,100000,[95]
88,153,306,107,[93]
89,41,100000,29,[94]
90,53,100000,100000,[96]
91,171,100000,120,"[95, 97, 99, 100]"
92,106,100000,74,"[97, 98]"
93,147,100000,100000,[]
94,72,144,100000,[]
95,436,872,100000,[]
96,57,100000,40,[]
97,444,100000,100000,[]
98,184,100000,100000,[]
99,422,844,100000,[]
100,323,646,226,[]
