task,th,tr,tc,successor
1,134,100000,94,"[3, 4, 5, 7]"
2,155,100000,100000,"[6, 35]"
3,302,100000,100000,[8]
4,205,100000,100000,"[10, 19, 21, 40]"
5,172,100000,120,"[8, 9, 12]"
6,131,262,92,"[11, 46]"
7,98,196,100000,"[9, 11]"
8,229,100000,100000,"[13, 14, 16, 17]"
9,98,100000,100000,"[19, 23, 50]"
10,256,100000,100000,"[31, 36]"
11,282,100000,100000,"[15, 27]"
12,64,128,45,"[13, 14, 15, 18]"
13,204,100000,100000,"[23, 45]"
14,282,564,100000,[63]
15,68,136,48,"[32, 34, 48]"
16,279,100000,100000,[20]
17,157,100000,110,"[20, 22, 35, 45]"
18,74,100000,100000,"[20, 21, 22]"
19,91,100000,64,"[29, 38, 42, 46]"
20,78,100000,100000,"[23, 39, 40]"
21,70,100000,100000,"[23, 25, 26, 27, 28, 29]"
22,184,100000,129,"[23, 24, 25, 32, 36]"
23,224,100000,100000,"[30, 31]"
24,289,100000,100000,"[33, 48]"
25,75,100000,100000,[47]
26,86,100000,100000,"[32, 34, 36]"
27,51,100000,100000,"[41, 52]"
28,135,270,100000,"[30, 35, 52]"
29,128,256,90,"[30, 51, 53, 57]"
30,31,100000,22,"[37, 41, 59]"
31,289,100000,202,"[37, 38, 44]"
32,101,100000,100000,"[39, 80, 100]"
33,111,100000,78,"[40, 42, 43]"
34,235,100000,100000,"[38, 43, 45]"
35,149,298,100000,"[46, 51]"
36,195,390,136,"[37, 38, 39, 42, 49, 56]"
37,180,360,126,"[47, 61, 84]"
38,81,162,57,"[51, 52]"
39,197,394,100000,[81]
40,129,100000,100000,"[49, 72, 81]"
41,101,202,71,"[48, 60]"
42,55,110,100000,[53]
43,175,350,122,"[50, 52, 66]"
44,121,100000,85,[]
45,175,350,100000,"[56, 57, 78, 84, 86]"
46,211,100000,148,[65]
47,62,100000,43,[72]
48,38,76,100000,"[54, 55, 83]"
49,45,100000,100000,"[74, 93]"
50,122,100000,100000,"[55, 56]"
51,203,100000,142,"[54, 58, 59, 60, 62]"
52,57,100000,40,"[54, 57, 81]"
53,166,332,116,"[55, 58, 59]"
54,206,100000,144,"[64, 75, 88]"
55,231,462,162,"[63, 72]"
56,111,100000,78,[]
57,237,474,100000,[62]
58,219,100000,153,"[63, 65, 71]"
59,101,202,71,"[88, 89]"
60,114,100000,100000,"[61, 65, 92]"
61,100,200,100000,"[66, 71, 80]"
62,224,448,100000,[67]
63,206,100000,100000,"[68, 73]"
64,41,100000,29,[]
65,32,100000,100000,"[66, 69, 70, 72]"
66,167,100000,100000,[75]
67,57,114,100000,"[75, 79, 82, 91]"
68,32,64,100000,"[74, 76, 77, 89]"
69,104,100000,73,[81]
70,31,62,100000,"[76, 83, 86, 87]"
71,77,100000,54,"[81, 83, 90]"
72,109,218,100000,"[74, 80, 82]"
73,140,100000,100000,"[74, 75, 78]"
74,116,232,100000,[]
75,183,100000,128,[]
76,156,100000,100000,[84]
77,117,100000,82,"[84, 93]"
78,42,100000,100000,[85]
79,226,100000,100000,[89]
80,141,282,100000,[86]
81,297,594,100000,[]
82,96,192,67,"[88, 93]"
83,91,100000,100000,[]
84,248,496,100000,"[91, 96]"
85,37,74,26,"[87, 88, 89, 90, 92]"
86,139,278,100000,[90]
87,50,100000,35,[93]
88,100,100000,100000,"[94, 95]"
89,54,108,100000,[]
90,108,216,76,[]
91,120,100000,100000,[95]
92,125,100000,100000,[99]
93,176,352,100000,[100]
94,63,126,100000,"[96, 97, 98]"
95,171,100000,100000,[99]
96,289,100000,202,[]
97,179,358,100000,[]
98,71,100000,100000,[]
99,168,100000,118,[]
100,49,98,34,[]
