task,th,tr,tc,successor
1,212,424,100000,[85]
2,125,250,100000,[22]
3,210,100000,147,[22]
4,128,100000,100000,[38]
5,166,100000,116,"[7, 9, 10]"
6,113,100000,100000,"[8, 21, 55]"
7,174,100000,122,[85]
8,220,100000,100000,[27]
9,61,100000,100000,[22]
10,93,100000,100000,"[11, 12, 13, 14, 15, 16, 17, 18, 19]"
11,51,100000,100000,[27]
12,135,100000,100000,[22]
13,162,100000,100000,[22]
14,109,218,100000,[22]
15,121,242,85,[22]
16,108,100000,100000,[38]
17,149,100000,100000,[38]
18,52,100000,100000,"[20, 24, 25, 26, 32]"
19,229,458,160,"[20, 21, 23]"
20,41,100000,100000,[27]
21,127,100000,100000,[27]
22,236,472,165,"[28, 29, 30, 31, 32]"
23,124,100000,100000,[38]
24,96,192,100000,[59]
25,178,356,125,[49]
26,187,100000,131,"[33, 53, 56]"
27,47,100000,33,"[34, 35, 36, 37, 52]"
28,243,486,100000,[70]
29,290,100000,100000,[38]
30,173,100000,100000,[38]
31,152,100000,106,[51]
32,79,158,100000,[38]
33,31,100000,22,"[39, 58, 62, 68]"
34,115,100000,80,"[48, 56]"
35,55,100000,38,"[48, 50]"
36,79,158,55,[48]
37,77,154,100000,"[56, 65, 66]"
38,145,290,100000,"[40, 41, 42, 43, 44, 45, 46, 47, 48]"
39,63,100000,100000,"[49, 51]"
40,176,100000,123,"[50, 55]"
41,49,98,100000,"[52, 68]"
42,336,672,100000,"[65, 72]"
43,107,214,100000,"[49, 50, 68]"
44,133,266,100000,"[84, 96]"
45,202,100000,100000,"[54, 56, 57]"
46,239,478,100000,[71]
47,255,100000,178,"[49, 69]"
48,121,242,100000,"[49, 51, 53]"
49,46,100000,100000,[85]
50,78,100000,100000,[85]
51,41,82,29,[70]
52,208,100000,100000,[70]
53,189,100000,132,[57]
54,132,264,92,[]
55,48,100000,34,[56]
56,254,100000,178,[70]
57,255,100000,178,"[58, 59]"
58,56,100000,100000,"[60, 61, 63]"
59,272,100000,100000,"[62, 64]"
60,145,290,100000,[85]
61,175,100000,100000,[69]
62,39,100000,27,"[65, 67, 71]"
63,112,224,78,"[65, 66, 67]"
64,56,112,39,[68]
65,295,100000,100000,[70]
66,110,100000,100000,[89]
67,207,414,145,[72]
68,100,200,100000,[71]
69,263,526,184,[70]
70,206,412,144,"[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84]"
71,35,70,24,[]
72,133,100000,93,"[84, 97]"
73,117,100000,82,[85]
74,89,178,100000,"[86, 89]"
75,32,100000,100000,[]
76,261,100000,183,[85]
77,207,414,100000,"[98, 99]"
78,58,116,100000,[]
79,30,100000,100000,[]
80,203,406,100000,"[85, 89]"
81,118,100000,100000,[]
82,318,100000,223,"[88, 96]"
83,146,100000,100000,[]
84,200,400,100000,[87]
85,55,100000,38,"[90, 91, 92, 93, 94, 95]"
86,236,100000,100000,[]
87,352,100000,100000,[]
88,216,100000,151,[100]
89,69,138,100000,[96]
90,182,364,100000,[]
91,101,202,100000,[]
92,229,458,160,"[97, 98, 100]"
93,282,100000,100000,[]
94,185,370,100000,[99]
95,129,100000,100000,[]
96,106,100000,74,"[97, 98]"
97,137,100000,96,[]
98,259,100000,100000,[]
99,74,100000,52,[]
100,214,428,150,[]
