task,th,tr,tc,successor
1,88,100000,62,[8]
2,171,100000,100000,[10]
3,67,134,100000,[11]
4,157,314,100000,"[9, 12]"
5,177,100000,100000,[68]
6,204,100000,100000,"[13, 14]"
7,100,100000,100000,"[15, 33, 47]"
8,56,112,39,[16]
9,205,100000,100000,[17]
10,68,100000,48,[20]
11,138,100000,100000,[21]
12,94,100000,100000,"[18, 19, 46]"
13,138,100000,97,"[21, 22, 23, 24]"
14,40,100000,28,[56]
15,171,100000,100000,"[19, 55]"
16,226,100000,158,[25]
17,96,100000,67,[30]
18,181,100000,127,[26]
19,86,172,100000,"[27, 28, 29, 31]"
20,31,62,22,[]
21,243,486,170,[]
22,94,188,66,"[32, 33, 54]"
23,29,58,100000,"[40, 63, 67]"
24,64,128,100000,[97]
25,51,102,100000,[34]
26,46,92,100000,[39]
27,342,100000,100000,[36]
28,275,550,192,[37]
29,113,100000,79,[38]
30,130,100000,91,"[41, 45, 65]"
31,56,112,39,"[35, 41, 42, 98]"
32,219,438,153,[]
33,98,196,100000,"[40, 63]"
34,106,100000,100000,[43]
35,290,580,203,[44]
36,194,100000,100000,[45]
37,65,100000,46,[45]
38,63,100000,100000,[45]
39,124,100000,100000,[47]
40,92,184,64,[46]
41,154,100000,108,[]
42,110,100000,100000,[48]
43,26,100000,18,[49]
44,24,48,100000,[51]
45,171,100000,120,"[50, 52, 56]"
46,171,342,100000,"[53, 55, 57]"
47,156,312,100000,[]
48,128,100000,100000,"[54, 65]"
49,230,100000,100000,[60]
50,124,248,87,[58]
51,148,100000,104,[62]
52,218,436,153,[59]
53,138,100000,97,[61]
54,88,100000,62,"[63, 67]"
55,96,192,100000,[68]
56,234,100000,100000,[81]
57,138,100000,100000,"[64, 65, 66, 100]"
58,34,100000,100000,[69]
59,50,100,35,[70]
60,146,100000,100000,[71]
61,67,134,47,[72]
62,68,100000,100000,[]
63,29,100000,100000,"[74, 88]"
64,148,296,100000,[]
65,213,426,100000,[80]
66,190,100000,100000,"[92, 96]"
67,254,100000,100000,[]
68,43,86,100000,"[73, 82]"
69,70,140,49,[75]
70,84,100000,100000,[76]
71,133,100000,93,[78]
72,58,116,41,"[77, 79, 80, 81, 82, 83]"
73,167,334,100000,[81]
74,126,100000,100000,[97]
75,105,100000,74,[87]
76,119,238,100000,[88]
77,150,300,100000,[84]
78,31,100000,22,[89]
79,164,100000,100000,[86]
80,193,386,100000,"[85, 91]"
81,165,100000,100000,[]
82,144,288,101,[92]
83,286,572,100000,[90]
84,160,100000,100000,[93]
85,54,108,38,[94]
86,100,100000,100000,[95]
87,61,100000,43,[]
88,267,100000,100000,[]
89,178,356,100000,[98]
90,191,100000,100000,"[99, 100]"
91,55,100000,100000,[96]
92,142,100000,100000,[97]
93,24,100000,100000,[]
94,241,482,169,[]
95,84,168,59,[]
96,219,100000,153,[]
97,63,100000,100000,[]
98,51,100000,100000,[]
99,76,100000,100000,[]
100,64,100000,100000,[]
