task,th,tr,tc,successor
1,266,100000,100000,[61]
2,230,100000,100000,"[13, 97]"
3,30,60,100000,[]
4,460,100000,322,[12]
5,357,714,100000,"[12, 45]"
6,249,100000,174,[11]
7,171,100000,120,[14]
8,222,444,155,[15]
9,432,100000,302,[]
10,67,100000,47,"[83, 92]"
11,138,100000,97,[]
12,190,100000,100000,[16]
13,183,100000,100000,"[18, 19]"
14,529,1058,370,"[17, 20]"
15,293,586,100000,[]
16,306,612,214,[23]
17,142,100000,99,"[22, 25, 28, 29]"
18,52,104,100000,[24]
19,409,100000,286,[98]
20,341,100000,100000,"[21, 26, 27]"
21,25,50,18,[34]
22,65,130,100000,[51]
23,421,100000,100000,"[31, 36, 39]"
24,95,100000,66,"[35, 38]"
25,270,540,100000,"[35, 37]"
26,135,100000,94,[30]
27,620,1240,434,[37]
28,48,100000,100000,[32]
29,174,348,100000,[33]
30,538,100000,100000,[]
31,130,260,100000,[47]
32,49,100000,34,[46]
33,81,100000,100000,"[45, 57]"
34,196,392,100000,"[43, 70]"
35,119,100000,100000,[49]
36,256,100000,179,"[41, 50]"
37,262,524,100000,"[40, 48, 69]"
38,118,236,100000,[44]
39,214,100000,100000,[42]
40,230,460,100000,[]
41,325,650,100000,[90]
42,251,100000,176,"[53, 82]"
43,367,734,257,"[54, 55, 56]"
44,89,100000,62,[92]
45,109,100000,76,[]
46,210,100000,100000,[94]
47,45,100000,100000,[]
48,255,100000,178,"[51, 63]"
49,367,100000,257,[]
50,134,268,94,[52]
51,41,100000,100000,[59]
52,135,100000,94,"[61, 62, 71, 74, 86]"
53,400,100000,100000,[64]
54,221,442,155,"[63, 65]"
55,168,100000,100000,"[57, 60, 84]"
56,37,100000,100000,[58]
57,380,760,266,[]
58,53,106,37,[]
59,253,100000,100000,"[70, 71]"
60,208,416,100000,[67]
61,86,172,60,[66]
62,136,272,100000,"[69, 87]"
63,503,100000,352,[68]
64,32,100000,22,[]
65,474,948,100000,[]
66,545,1090,100000,[]
67,491,982,100000,"[72, 74, 86]"
68,533,1066,373,[77]
69,129,100000,100000,[73]
70,121,100000,100000,[75]
71,535,100000,100000,"[73, 76]"
72,161,322,113,"[78, 85, 98, 99]"
73,247,494,100000,[83]
74,21,100000,100000,"[87, 88]"
75,372,100000,100000,"[81, 82, 86]"
76,131,100000,100000,"[79, 80]"
77,92,184,64,[84]
78,192,100000,134,[]
79,101,100000,71,[]
80,513,100000,100000,"[89, 90, 92, 93, 94, 98]"
81,219,100000,100000,[97]
82,41,82,100000,"[98, 99]"
83,211,100000,100000,[]
84,111,100000,100000,[94]
85,341,100000,100000,[95]
86,88,176,100000,"[91, 96]"
87,132,100000,100000,[93]
88,34,68,24,[100]
89,86,172,100000,[]
90,450,100000,100000,[]
91,106,212,74,[]
92,528,100000,370,[]
93,194,388,100000,[]
94,263,100000,100000,[]
95,269,100000,100000,[]
96,86,100000,60,[]
97,265,100000,100000,[]
98,215,430,100000,[]
99,277,100000,100000,[]
100,54,100000,100000,[]
